ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
"149 BIO, LLC",MIAMI,FL,UNITED STATES,1,306500
21MEDTECH LLC,DURHAM,NC,UNITED STATES,1,999978
"23ANDME, INC.",Sunnyvale,CA,UNITED STATES,1,266646
"2MORROW, INC",Kirkland,WA,UNITED STATES,1,498970
2WITECH SOLUTIONS LLC,LOWELL,MA,UNITED STATES,1,173075
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,DURHAM,NC,UNITED STATES,4,1384316
3D MOLECULAR DESIGNS,MILWAUKEE,WI,UNITED STATES,2,1027886
"3DT HOLDINGS, LLC",SAN DIEGO,CA,UNITED STATES,1,854130
4E THERAPEUTICS INC.,AUSTIN,TX,UNITED STATES,1,2195014
"7 HILLS PHARMA, LLC",HOUSTON,TX,UNITED STATES,3,2925291
"A AND G PHARMACEUTICAL, INC.",COLUMBIA,MD,UNITED STATES,1,116400
"AAVOGEN, INC.",ROCKVILLE,MD,UNITED STATES,2,1113710
"ABALONE BIO, INC.",Emeryville,CA,UNITED STATES,1,999999
"ABBRATECH, INC.",Branford,CT,UNITED STATES,4,2793771
"ABILITA BIO, INC.",SAN DIEGO,CA,UNITED STATES,1,399424
"ABVACC, INC.",ROCKVILLE,MD,UNITED STATES,6,5402209
"ABVIRO, LLC",BETHESDA,MD,UNITED STATES,2,1762016
"ABZYME THERAPEUTICS, LLC",POTTSTOWN,PA,UNITED STATES,1,299999
ACADEMIC PEDIATRIC ASSOCIATION,MC LEAN,VA,UNITED STATES,1,145675
"ACADEMIC WEB PAGES, INC.",NORTHAMPTON,MA,UNITED STATES,1,81697
ACADEMICAL MEDICAL CENTER,AMSTERDAM,,NETHERLANDS,1,506574
ACADEMYHEALTH,WASHINGTON,DC,UNITED STATES,1,54877
"ACATECHOL, INC.",Pasadena,CA,UNITED STATES,1,273485
"ACCEL DIAGNOSTICS, LLC",Houston,TX,UNITED STATES,1,97316
"ACCELEVIR DIAGNOSTICS, LLC",BALTIMORE,MD,UNITED STATES,2,3476344
ACCESS HEALTH INC,MUSKEGON,MI,UNITED STATES,1,1124981
"ACCESS SENSOR TECHNOLOGIES, LLC",FORT COLLINS,CO,UNITED STATES,2,1535622
ACCESS TO ADVANCED HEALTH INSTITUTE,SEATTLE,WA,UNITED STATES,2,2907656
"ACCUHEALTH TECHNOLOGIES, INC.",ATLANTA,GA,UNITED STATES,1,999936
"ACCURIUS THERAPEUTICS, INC.",LEXINGTON,MA,UNITED STATES,1,399999
"ACENXION BIOSYSTEMS, INC.",KANSAS CITY,KS,UNITED STATES,1,1000000
"ACEPRE, LLC",COLUMBIA,SC,UNITED STATES,2,756822
"ACETAMINOPHEN TOXICITY DIAGNOSTICS, LLC",LITTLE ROCK,AR,UNITED STATES,2,1322119
"ACHIEVE LIFE SCIENCES, INC.",SEATTLE,WA,UNITED STATES,1,584690
"ACOUSTIC RANGE ESTIMATES, LLC",Chicago,IL,UNITED STATES,1,377958
"ACOUSTICABIO, INC.",CAMBRIDGE,MA,UNITED STATES,1,324500
"ACTINIUM PHARMACEUTICALS, INC.",NEW YORK,NY,UNITED STATES,1,865308
