ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
"20/20 GENESYSTEMS, INC.",ROCKVILLE,MD,UNITED STATES,1,199597
"20/20 GENESYSTEMS, INC.",ROCKVILLE,MD,UNITED STATES,1,750000
"21ST CENTURY MEDICINE, INC.",RANCHO CUCAMONGA,CA,UNITED STATES,1,251046
"2B TECHNOLOGIES, INC.",Boulder,CO,UNITED STATES,1,364923
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,CARY,NC,UNITED STATES,3,1371216
"3DMD, LLC",ATLANTA,GA,UNITED STATES,1,100001
"3DT HOLDINGS, LLC",INDIANAPOLIS,IN,UNITED STATES,1,99936
4 D TECHNOLOGY CORPORATION,TUCSON,AZ,UNITED STATES,1,107275
"A AND G PHARMACEUTICAL, INC.",COLUMBIA,MD,UNITED STATES,1,575793
A&E INNOVATIONS,mequon,WI,UNITED STATES,1,107347
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,KIRKSVILLE,MO,UNITED STATES,2,528223
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,11,5001525
"ABC FOR HEALTH, INC.",MADISON,WI,UNITED STATES,1,199853
ABEOME CORPORATION,ATHENS,GA,UNITED STATES,1,133995
"ABIOMED, INC.",DANVERS,MA,UNITED STATES,4,1123252
"ABLELINK TECHNOLOGIES, INC.",COLORADO SPRINGS,CO,UNITED STATES,1,187476
ABRATECH CORPORATION,SAUSALITO,CA,UNITED STATES,1,149798
"ABT ASSOCIATES, INC.",CAMBRIDGE,MA,UNITED STATES,1,192810
"ACADEMIC EDGE, INC.",BLOOMINGTON,IN,UNITED STATES,0,44813
"ACADEMIC PHARMACEUTICALS, INC.",LAKE BLUFF,IL,UNITED STATES,1,102910
ACADEMY FOR EDUCATIONAL DEVELOPMENT,WASHINGTON,DC,UNITED STATES,4,5125190
ACADEMY FOR EDUCATIONAL DEVELOPMENT,WASHINGTON,DC,UNITED STATES,1,563434
"ACCELALOX, INC.",MENLO PARK,CA,UNITED STATES,1,228827
"ACCELERATED MEDICAL DIAGNOSTICS, LLC",DAVIS,CA,UNITED STATES,1,195550
"ACCELEREYES, LLC",Atlanta,GA,UNITED STATES,1,236424
"ACCENTS ON HEALTH, INC.",SAN DIEGO,CA,UNITED STATES,1,99989
"ACCESSIBLE DESIGNS, INC.",SAN ANTONIO,TX,UNITED STATES,1,109541
"ACCORD BIOMATERIALS, INC.",ANN ARBOR,MI,UNITED STATES,1,515403
"ACELOT, INC.",SANTA BARBARA,CA,UNITED STATES,1,183715
"ACHAOGEN, INC.",SOUTH SAN FRANCISCO,CA,UNITED STATES,1,5697418
"ACHEVE TECHNOLOGY, INC.",IRVINE,CA,UNITED STATES,1,145325
"ACHILLION PHARMACEUTICALS, INC.",NEW HAVEN,CT,UNITED STATES,1,300000
"ACME EXPRESS, INC.",CLEVELAND,OH,UNITED STATES,1,176839
"ACOUSTIC MEDSYSTEMS, INC.",CHAMPAIGN,IL,UNITED STATES,2,2169248
"ACOUSTIC MEDSYSTEMS, INC.",Savoy,IL,UNITED STATES,1,188384
"ACTIGRAPH, LLC",FORT WALTON BEACH,FL,UNITED STATES,1,358456
"ACTIVE MOTIF, INC.",CARLSBAD,CA,UNITED STATES,1,288934
"ACTIVE WAVE, INC.",BOCA RATON,FL,UNITED STATES,1,124896
"ACTIVESITE PHARMACEUTICALS, INC.",BERKELEY,CA,UNITED STATES,1,389453
"ACTUATED MEDICAL, INC.",Bellefonte,PA,UNITED STATES,2,644005
"ADA TECHNOLOGIES, INC.",LITTLETON,CO,UNITED STATES,3,1151535
ADAPTIVE TCR CORPORATION,SEATTLE,WA,UNITED STATES,1,332770
