ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
"AAC ASSOCIATES, INC.",VIENNA,VA,UNITED STATES,9,1382303
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,5,1748224
"AASTROM BIOSCIENCES, INC.",ANN ARBOR,MI,UNITED STATES,3,324500
ABEL COMPANY,PEMBROKE,VA,UNITED STATES,1,50000
"ABELA LASER SYSTEMS, INC.",EAST LANSING,MI,UNITED STATES,1,230700
"ABIOMED, INC.",DANVERS,MA,UNITED STATES,10,3249252
ABRATECH CORPORATION,SAUSALITO,CA,UNITED STATES,2,515525
"ABT ASSOCIATES, INC.",CAMBRIDGE,MA,UNITED STATES,10,3048370
"ACADEMIC SOFTWARE, INC.",LEXINGTON,KY,UNITED STATES,2,306581
ACADEMY OF NATURAL SCIENCES,PHILADELPHIA,PA,UNITED STATES,1,153657
"ACCSYS TECHNOLOGY, INC.",PLEASANTON,CA,UNITED STATES,1,50000
"ADAPTIVE MEDICAL SYSTEMS, INC.",BOSTON,MA,UNITED STATES,1,50000
ADDICTION RESEARCH AND TREATMENT CORP,NEW YORK,NY,UNITED STATES,9,3680950
ADDICTION RESEARCH INSTITUTE,SOUTH BURLINGTON,VT,UNITED STATES,3,2791610
ADELPHI UNIVERSITY,GARDEN CITY,NY,UNITED STATES,2,151441
ADHERENCE TECHNOLOGIES CORPORATION,BURKE,VA,UNITED STATES,1,50000
ADIRONDACK BIOMEDICAL RESEARCH INSTITUTE,LAKE PLACID,NY,UNITED STATES,12,2771342
"ADRIA SP, INC.",ALBUQUERQUE,NM,UNITED STATES,1,90000
"ADVANCED BIOSCIENCE LABORATORIES, INC.",KENSINGTON,MD,UNITED STATES,10,16710983
"ADVANCED DETECTORS, INC.",CAMARILLO,CA,UNITED STATES,2,675125
ADVANCED IMMUNOTHERAPEUTICS,TUSTIN,CA,UNITED STATES,1,234617
"ADVANCED MECHANICAL TECHNOLOGY, INC.",WATERTOWN,MA,UNITED STATES,1,227619
