ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
"13THERAPEUTICS, INC.",PORTLAND,OR,UNITED STATES,3,1337224
"20/20 GENESYSTEMS, INC.",ROCKVILLE,MD,UNITED STATES,1,332174
"2B TECHNOLOGIES, INC.",Boulder,CO,UNITED STATES,1,98622
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,CARY,NC,UNITED STATES,3,1142057
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,CARY,NC,UNITED STATES,5,2071176
"3D IMAGING, LLC",MAUMELLE,AR,UNITED STATES,1,103870
"3RD MILLENNIUM, INC",WALTHAM,MA,UNITED STATES,1,274323
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,KIRKSVILLE,MO,UNITED STATES,1,205541
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,11,5795990
"ABD BIOQUEST, INC.",SUNNYVALE,CA,UNITED STATES,1,100000
"ABIOMED, INC.",DANVERS,MA,UNITED STATES,2,864009
"ABLELINK TECHNOLOGIES, INC.",COLORADO SPRINGS,CO,UNITED STATES,1,374420
"ABOUT WEB, LLC",ROCKVILLE,MD,UNITED STATES,1,25000
"ABOVE FITNESS PRODUCTS, LTD",Springboro,OH,UNITED STATES,1,172096
"ABT ASSOCIATES, INC.",CAMBRIDGE,MA,UNITED STATES,2,387734
"ACADEMIC EDGE, INC.",BLOOMINGTON,IN,UNITED STATES,2,751315
"ACADEMIC EDGE, INC.",BLOOMINGTON,IN,UNITED STATES,1,100000
ACADEMY FOR EDUCATIONAL DEVELOPMENT,WASHINGTON,DC,UNITED STATES,2,2873790
ACADEMY OF SCIENCES OF CZECH REPUBLIC,PRAGUE 4,,CZECH REPUBLIC,1,51202
"ACCACIA INTERNATIONAL, INC.",AUSTIN,TX,UNITED STATES,1,676625
"ACCENT MEDIA PRODUCTION, INC.",MC LEAN,VA,UNITED STATES,1,5000
"ACCENTS ON HEALTH, INC.",SAN DIEGO,CA,UNITED STATES,1,99979
ACCESS DUPAGE,CAROL STREAM,IL,UNITED STATES,1,27000
"ACCIUM BIOSCIENCES, INC.",SEATTLE,WA,UNITED STATES,1,102900
"ACELOT, INC.",SANTA BARBARA,CA,UNITED STATES,1,518950
"ACETAMINOPHEN TOXICITY DIAGNOSTICS, LLC",LITTLE ROCK,AR,UNITED STATES,1,199751
"ACHAOGEN, INC.",SOUTH SAN FRANCISCO,CA,UNITED STATES,1,11330516
"ACME EXPRESS, INC.",CLEVELAND,OH,UNITED STATES,1,98044
"ACOUSTIC MEDSYSTEMS, INC.",CHAMPAIGN,IL,UNITED STATES,2,299948
"ACTIVE SPECTRUM, INC.",SAN CARLOS,CA,UNITED STATES,1,94090
"ACTUATED MEDICAL, INC.",Bellefonte,PA,UNITED STATES,1,100000
ACULIGHT CORPORATION,BOTHELL,WA,UNITED STATES,3,770327
"ACUMEN, LLC",BURLINGAME,CA,UNITED STATES,0,428202
"ADA TECHNOLOGIES, INC.",LITTLETON,CO,UNITED STATES,1,149121
"ADA TECHNOLOGIES, INC.",LITTLETON,CO,UNITED STATES,4,1162635
ADDICTION RESEARCH AND TREATMENT CORP,NEW YORK,NY,UNITED STATES,1,209626
"ADP SILVER DENTAL ARREST, LLC",REDMOND,OR,UNITED STATES,1,96096
