ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
"13THERAPEUTICS, INC.",PORTLAND,OR,UNITED STATES,1,999605
"20/20 GENESYSTEMS, INC.",ROCKVILLE,MD,UNITED STATES,1,1000000
"21ST CENTURY THERAPEUTICS, INC.",,MI,UNITED STATES,1,186857
"21ST CENTURY THERAPEUTICS, INC.",SHELBY TOWNSHIP,MI,UNITED STATES,1,591522
"2B TECHNOLOGIES, INC.",Boulder,CO,UNITED STATES,1,371307
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,CARY,NC,UNITED STATES,3,1219458
4 D TECHNOLOGY CORPORATION,TUCSON,AZ,UNITED STATES,1,500934
"A AND G PHARMACEUTICAL, INC.",COLUMBIA,MD,UNITED STATES,2,691398
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,KIRKSVILLE,MO,UNITED STATES,1,210490
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,11,5639409
"ABIOMED, INC.",DANVERS,MA,UNITED STATES,1,663647
"ABLATION NUMERICS, INC.",LA JOLLA,CA,UNITED STATES,1,361816
"ABLELINK TECHNOLOGIES, INC.",COLORADO SPRINGS,CO,UNITED STATES,1,447666
"ABQMR, INC.",ALBUQUERQUE,NM,UNITED STATES,1,317293
ABRATECH CORPORATION,Mill Valley,CA,UNITED STATES,1,149798
"ABZYME THERAPEUTICS, LLC",MALVERN,PA,UNITED STATES,1,282519
ACADEMY FOR EDUCATIONAL DEVELOPMENT,,DC,UNITED STATES,1,2140464
"ACADIA PHARMACEUTICALS, INC.",SAN DIEGO,CA,UNITED STATES,1,300000
"ACADUCEUS PHARMACEUTICS, INC.",CUPERTINO,CA,UNITED STATES,1,236000
"ACCESSIBLE DESIGNS, INC.",SAN ANTONIO,TX,UNITED STATES,1,393624
"ACCLARO RESEARCH SOLUTIONS, INC.",,MD,UNITED STATES,1,106880
"ACCORD BIOMATERIALS, INC.",ANN ARBOR,MI,UNITED STATES,1,873517
"ACCOUNTABILITY SOLUTIONS, INC.",SANTA FE,NM,UNITED STATES,1,120605
"ACETAMINOPHEN TOXICITY DIAGNOSTICS, LLC",LITTLE ROCK,AR,UNITED STATES,1,389762
"ACHAOGEN, INC.",,CA,UNITED STATES,1,5160457
"ACME EXPRESS, INC.",CLEVELAND,OH,UNITED STATES,1,573161
"ACOUSTIC MEDSYSTEMS, INC.",CHAMPAIGN,IL,UNITED STATES,2,2114212
"ACPHARIS, INC.",HOLLISTON,MA,UNITED STATES,1,98055
"ACTIVE MOTIF, INC.",CARLSBAD,CA,UNITED STATES,1,25140
"ACTUATED MEDICAL, INC.",BELLEFONTE,PA,UNITED STATES,2,779314
"ACUMEN, LLC",,CA,UNITED STATES,1,29991
"ACUMEN, LLC",BURLINGAME,CA,UNITED STATES,2,430384
"ADA TECHNOLOGIES, INC.",LITTLETON,CO,UNITED STATES,1,359198
ADAPTIVE TCR CORPORATION,SEATTLE,WA,UNITED STATES,2,448914
"ADDIS, INC.",,MD,UNITED STATES,1,498772
ADELPHI UNIVERSITY,GARDEN CITY,NY,UNITED STATES,1,283108
ADERA,PESSAC,,FRANCE,1,1653274
ADURO BIOTECH,BERKELEY,CA,UNITED STATES,2,259122
ADVAITA CORPORATION,TROY,MI,UNITED STATES,1,749578
"ADVANCED BIODEVICES, LLC",PRINCETON,NJ,UNITED STATES,1,441949
"ADVANCED BIOMEDICAL MACHINES, INC.",STONY BROOK,NY,UNITED STATES,1,778161
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,MD,UNITED STATES,5,10152810
"ADVANCED BRAIN MONITORING, INC.",,CA,UNITED STATES,1,150000
"ADVANCED BRAIN MONITORING, INC.",CARLSBAD,CA,UNITED STATES,1,150992
"ADVANCED CELL DIAGNOSTICS, INC.",HAYWARD,CA,UNITED STATES,1,1006336
"ADVANCED CIRCULATORY SYSTEMS, INC.",Roseville,MN,UNITED STATES,2,528326
"ADVANCED DIAMOND TECHNOLOGIES, INC.",romeoville,IL,UNITED STATES,2,297903
"ADVANCED GENOMIC TECHNOLOGY, LLC",LOUISVILLE,KY,UNITED STATES,1,822684
"ADVANCED HEARING CONCEPTS, INC.",BODEGA BAY,CA,UNITED STATES,1,94874
ADVANCED LIQUID LOGIC,RESEARCH TRIANGLE PARK,NC,UNITED STATES,5,2643909
"ADVANCED MATERIALS TECHNOLOGY, INC.",WILMINGTON,DE,UNITED STATES,2,403156
ADVANCED MEDICAL ELECTRONICS CORPORATION,MAPLE GROVE,MN,UNITED STATES,7,2850659
"ADVANCED MICROLABS, LLC",FORT COLLINS,CO,UNITED STATES,1,401406
"ADVANCED MRI TECHNOLOGY, LLC",SEBASTOPOL,CA,UNITED STATES,1,287441
"ADVANCED PLASMA PRODUCTS, INC.",KNOXVILLE,TN,UNITED STATES,1,418938
"ADVANCED RNA TECHNOLOGIES, LLC",BOULDER,CO,UNITED STATES,1,225000
ADVANCES IN MINERAL METABOLISM,ROCHESTER,MN,UNITED STATES,1,15000
"ADVANTAGENE, INC",Auburndale,MA,UNITED STATES,1,1902504
ADVENTIUM ENTERPRISES,MINNEAPOLIS,MN,UNITED STATES,1,250000
"AEON IMAGING, LLC",BLOOMINGTON,IN,UNITED STATES,2,1512372
AERAS GLOBAL TB VACCINE FOUNDATION,ROCKVILLE,MD,UNITED STATES,1,131388
"AEROMICS, LLC",CLEVELAND,OH,UNITED STATES,2,1242019
"AESTUS THERAPEUTICS, INC.",North Brunswick,NJ,UNITED STATES,1,1308367
"AFASCI, INC.",Redwood City,CA,UNITED STATES,3,816486
"AFFINERGY ,INC",RESEARCH TRIANGLE PARK,NC,UNITED STATES,4,2850727
"AFRAME DIGITAL, INC.",LOVETTSVILLE,VA,UNITED STATES,1,147264
AG BELL ASSN FOR DEAF & HARD OF HEARING,WASHINGTON,DC,UNITED STATES,1,100
AGA KHAN UNIVERSITY,KARACHI,,PAKISTAN,2,370535
"AGENTA BIOTECHNOLOGIES, INC.",BIRMINGHAM,AL,UNITED STATES,1,157069
"AGILE SCIENCES, INC.",RALEIGH,NC,UNITED STATES,4,1288615
"AGILTRON, INC.",,MA,UNITED STATES,1,147753
"AGILTRON, INC.",WOBURN,MA,UNITED STATES,1,149939
"AGIOS PHARMACEUTICALS, INC.",CAMBRIDGE,MA,UNITED STATES,1,33750
AGNES SCOTT COLLEGE,DECATUR,GA,UNITED STATES,5,1247469
"AGRI-ANALYSIS, LLC",West Sacramento,CA,UNITED STATES,2,681330
"AI CURE TECHNOLOGIES, LLC",MOUNT KISCO,NY,UNITED STATES,1,273165
"AKINA, INC.",WEST LAFAYETTE,IN,UNITED STATES,1,100001
"AKONNI BIOSYSTEMS, INC.",FREDERICK,MD,UNITED STATES,3,1495613
AKRON GENERAL MEDICAL CENTER,AKRON,OH,UNITED STATES,1,71520
"AKROTOME IMAGING, INC.",,CA,UNITED STATES,1,249912
ALABAMA STATE UNIVERSITY,MONTGOMERY,AL,UNITED STATES,1,220435
ALAN GUTTMACHER INSTITUTE,NEW YORK,NY,UNITED STATES,3,812145
"ALAN PENN AND ASSOCIATES, INC.",,MD,UNITED STATES,1,192886
ALASKA COMMUNITY ACTION ON TOXICS (ACAT),ANCHORAGE,AK,UNITED STATES,1,471521
ALBANY COLLEGE OF PHARMACY,ALBANY,NY,UNITED STATES,3,1065402
ALBANY MEDICAL COLLEGE,ALBANY,NY,UNITED STATES,34,9750854
"ALBANY MOLECULAR RESEARCH, INC.",,NY,UNITED STATES,1,9951608
"ALBANY RESEARCH INSTITUTE, INC.",ALBANY,NY,UNITED STATES,1,263877
ALBANY STATE UNIVERSITY,ALBANY,GA,UNITED STATES,3,1299497
"ALBA-TECHNIC, LLC",ARUNDEL,ME,UNITED STATES,1,536315
ALBERT B. SABIN VACCINE INSTITUTE,WASHINGTON,DC,UNITED STATES,1,561750
ALBERT EINSTEIN COL OF MED YESHIVA UNIV,BRONX,NY,UNITED STATES,353,167197451
ALBERT EINSTEIN HEALTHCARE NETWORK,PHILADELPHIA,PA,UNITED STATES,5,2173685
ALCHEM LABORATORIES CORPORATION,,FL,UNITED STATES,2,725000
"ALCOMED, INC.",LEXINGTON,KY,UNITED STATES,1,975907
ALCORN STATE UNIVERSITY,ALCORN STATE,MS,UNITED STATES,2,229527
"ALDERON BIOSCIENCES, INC.",Beaufort,NC,UNITED STATES,1,470619
"ALERE TOXICOLOGY SERVICES, INC.",,LA,UNITED STATES,1,321375
"ALEXANDER BIODISCOVERIES, LLC",CHARLOTTESVILLE,VA,UNITED STATES,1,300000
ALFRED I. DU PONT HOSP FOR CHILDREN,WILMINGTON,DE,UNITED STATES,3,2634929
ALGENTA TECHNOLOGIES,Minneapolis,MN,UNITED STATES,1,150000
"ALGOMEDIX, INC.",MILL CREEK,WA,UNITED STATES,1,316121
"ALGOTEK, INC.",,MD,UNITED STATES,1,125008
ALION SCIENCE AND TECHNOLOGY CORP,,NC,UNITED STATES,1,3922126
"ALKERMES, INC.",WALTHAM,MA,UNITED STATES,1,1037900
"ALKYMOS, INC",LEXINGTON,KY,UNITED STATES,1,213542
ALLAN HANCOCK COLLEGE,SANTA MARIA,CA,UNITED STATES,1,188998
ALLEGHENY-SINGER RESEARCH INSTITUTE,PITTSBURGH,PA,UNITED STATES,6,1705516
"ALLEGRO DIAGNOSTICS, INC.",Maynard,MA,UNITED STATES,1,828984
ALLELE BIOTECHNOLOGY AND PHARMACEUTICALS,,CA,UNITED STATES,1,200000
ALLEN INSTITUTE FOR BRAIN SCIENCE,,WA,UNITED STATES,1,4000000
ALLEN INSTITUTE FOR BRAIN SCIENCE,SEATTLE,WA,UNITED STATES,3,969243
"ALLIED INNOVATIVE SYSTEMS, LLC",HILLSBOROUGH,NJ,UNITED STATES,1,390262
ALLINA HEALTH SYSTEM,MINNEAPOLIS,MN,UNITED STATES,1,617404
"ALLOSTEROS THERAPEUTICS, INC.",PALO ALTO,CA,UNITED STATES,2,462087
"ALLTRANZ, INC.",LEXINGTON,KY,UNITED STATES,1,160500
"ALLVIVO VASCULAR, INC.",LAKE FOREST,CA,UNITED STATES,1,999440
"ALPHA OMEGA BIOTECHNOLOGY SERVICES, LLC",,MD,UNITED STATES,1,2374002
"ALPHACORE PHARMA, LLC",ANN ARBOR,MI,UNITED STATES,1,231470
"ALS BIOPHARMA, LLC",DOYLESTOWN,PA,UNITED STATES,1,189000
ALTARUM INSTITUTE,ANN ARBOR,MI,UNITED STATES,1,110431
ALTOR BIOSCIENCE CORPORATION,MIRAMAR,FL,UNITED STATES,4,2504093
"ALTRAVAX, INC.",FARGO,ND,UNITED STATES,3,899242
ALZHEIMER'S DRUG DISCOVERY FOUNDATION,NEW YORK,NY,UNITED STATES,1,75000
"AM BIOTECHNOLOGIES, LLC",HOUSTON,TX,UNITED STATES,2,631939
"AMBERGEN, INC",WATERTOWN,MA,UNITED STATES,3,1674022
"AMBION DIAGNOSTICS, INC.",AUSTIN,TX,UNITED STATES,1,454107
AMERICAN ACADEMY OF ADDICTION PSYCHIATRY,East Providence,RI,UNITED STATES,1,50000
"AMERICAN ACADEMY OF AUDIOLOGY, INC.",RESTON,VA,UNITED STATES,1,31200
AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,ROSEMONT,IL,UNITED STATES,1,15000
AMERICAN ACADEMY OF PEDIATRICS,ELK GROVE VILLAGE,IL,UNITED STATES,2,555202
AMERICAN ACADEMY-CHILD/ADOLESCENT PSYCH,WASHINGTON,DC,UNITED STATES,1,459943
"AMERICAN AGING ASSOCIATION, INC.",CLEVELAND,OH,UNITED STATES,1,50000
AMERICAN ASSOCIATION FOR CANCER RESEARCH,PHILADELPHIA,PA,UNITED STATES,7,1027628
AMERICAN ASSOCIATION FOR DENTAL RESEARCH,ALEXANDRIA,VA,UNITED STATES,1,50000
"AMERICAN CANCER SOCIETY, INC.",ATLANTA,GA,UNITED STATES,1,288303
AMERICAN COLLEGE OF MEDICAL GENETICS,,MD,UNITED STATES,1,3881351
AMERICAN COLLEGE OF RADIOLOGY,RESTON,VA,UNITED STATES,4,26332153
AMERICAN COLLEGE OF RHEUMATOLOGY,ATLANTA,GA,UNITED STATES,2,83000
AMERICAN DENTAL ASSOCIATION FOUNDATION,CHICAGO,IL,UNITED STATES,4,1149498
AMERICAN INSTITUTES FOR RESEARCH,,DC,UNITED STATES,3,7125584
AMERICAN INSTITUTES FOR RESEARCH,WASHINGTON,DC,UNITED STATES,3,1372868
AMERICAN LEGACY FOUNDATION,WASHINGTON,DC,UNITED STATES,2,992725
AMERICAN LIFE SCIENCE PHARMACEUTICALS,SAN DIEGO,CA,UNITED STATES,0,58511
AMERICAN MUSEUM OF NATURAL HISTORY,NEW YORK,NY,UNITED STATES,1,258676
AMERICAN PAIN SOCIETY,GLENVIEW,IL,UNITED STATES,1,30000
AMERICAN PHYSICIANS SCIENTISTS ASSN,URBANA,IL,UNITED STATES,1,60514
AMERICAN PHYSIOLOGICAL SOCIETY,BETHESDA,MD,UNITED STATES,2,183000
AMERICAN PSYCHIATRIC FOUNDATION,ARLINGTON,VA,UNITED STATES,3,241743
AMERICAN PSYCHOSOCIAL ONCOLOGY SOCIETY,CHARLOTTESVILLE,VA,UNITED STATES,1,20000
AMERICAN PSYCHOSOMATIC SOCIETY (APS),MC LEAN,VA,UNITED STATES,1,18000
