ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
A.J. BOGGS AND COMPANY,OKEMOS,MI,UNITED STATES,1,99868
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,KIRKSVILLE,MO,UNITED STATES,5,498539
"AAC ASSOCIATES, INC.",VIENNA,VA,UNITED STATES,3,350018
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,10,3273936
"AASTROM BIOSCIENCES, INC.",ANN ARBOR,MI,UNITED STATES,2,358665
ABEL COMPANY,PEMBROKE,VA,UNITED STATES,1,264700
ABERDEEN AREA TRIBAL CHAIRMEN'S HLTH BRD,RAPID CITY,SD,UNITED STATES,1,237978
"ABIOMED, INC.",DANVERS,MA,UNITED STATES,9,2698122
ABRATECH CORPORATION,SAUSALITO,CA,UNITED STATES,4,493415
"ABT ASSOCIATES, INC.",CAMBRIDGE,MA,UNITED STATES,7,854867
ACADEMY OF NATURAL SCIENCES,PHILADELPHIA,PA,UNITED STATES,1,152741
ACADEMYHEALTH,WASHINGTON,DC,UNITED STATES,2,219054
"ACAMBIS, INC.",CAMBRIDGE,MA,UNITED STATES,2,610071
"ACLARA BIOSCIENCES, INC.",MOUNTAIN VIEW,CA,UNITED STATES,3,249413
"ACME EXPRESS, INC.",CLEVELAND,OH,UNITED STATES,1,73740
ACTUARIAL FORECASTING AND RESEARCH,HOLICONG,PA,UNITED STATES,1,400438
ADDICTION RESEARCH AND TREATMENT CORP,NEW YORK,NY,UNITED STATES,1,160284
ADDICTION RESEARCH INSTITUTE,COLCHESTER,VT,UNITED STATES,1,932597
"ADELPHI TECHNOLOGY, INC.",SAN CARLOS,CA,UNITED STATES,1,99686
ADELPHI UNIVERSITY,GARDEN CITY,NY,UNITED STATES,2,150330
"ADERIS PHARMACEUTICALS, INC.",RICHMOND,VA,UNITED STATES,1,100000
ADHERENCE TECHNOLOGIES CORPORATION,PURCELLVILLE,VA,UNITED STATES,1,375000
ADIRONDACK BIOMEDICAL RESEARCH INSTITUTE,LAKE PLACID,NY,UNITED STATES,11,2706198
"ADRIA SP, INC.",ALBUQUERQUE,NM,UNITED STATES,2,150054
ADVANCED APPLICATIONS CORPORATION,ROCKVILLE,MD,UNITED STATES,1,100000
"ADVANCED BIOSCIENCE LABORATORIES, INC.",KENSINGTON,MD,UNITED STATES,6,2560497
"ADVANCED DETECTORS, INC.",CAMARILLO,CA,UNITED STATES,3,628808
ADVANCED MEDICAL ELECTRONICS CORPORATION,MAPLE GROVE,MN,UNITED STATES,3,299954
"ADVANCED RESOURCE TECHNOLOGIES, INC.",ALEXANDRIA,VA,UNITED STATES,2,27288
"ADVANCED SCIENTIFIC CONCEPTS, INC.",SANTA BARBARA,CA,UNITED STATES,2,183490
"ADVANCED TARGETING SYSTEMS, INC.",SAN DIEGO,CA,UNITED STATES,1,96844
"ADVANCED TECHNOLOGY MATERIALS, INC.",DANBURY,CT,UNITED STATES,1,100000
ADVENT HEALTH TECHNOLOGY,PHILADELPHIA,PA,UNITED STATES,1,100000
"AERON BIOTECHNOLOGY, INC.",SAN LEANDRO,CA,UNITED STATES,1,98417
"AEROSOL DYNAMICS, INC.",BERKELEY,CA,UNITED STATES,1,91153
AF SAMMER CORPORATION,RINGWOOD,NJ,UNITED STATES,1,297399
"AFFYMETRIX, INC.",SANTA CLARA,CA,UNITED STATES,6,2749178
AGOURON INSTITUTE,LA JOLLA,CA,UNITED STATES,4,588478
"AGOURON PHARMACEUTICALS, INC.",SAN DIEGO,CA,UNITED STATES,2,1041846
"AIDS RESEARCH CONSORTIUM OF ATLANTA, INC",ATLANTA,GA,UNITED STATES,2,725284
ALABAMA AGRI AND MECH UNIVERSITY,NORMAL,AL,UNITED STATES,2,75933
"ALABAMA SPECIALTY PRODUCTS, INC.",MUNFORD,AL,UNITED STATES,1,99601
ALABAMA STATE UNIVERSITY,MONTGOMERY,AL,UNITED STATES,3,657855
"ALACRON, INC.",CHAPPAQUA,NY,UNITED STATES,1,100000
ALAN GUTTMACHER INSTITUTE,NEW YORK,NY,UNITED STATES,2,267190
ALBANY MEDICAL COLLEGE,ALBANY,NY,UNITED STATES,49,7673425
"ALBANY MOLECULAR RESEARCH, INC.",ALBANY,NY,UNITED STATES,1,100000
ALBANY STATE UNIVERSITY,ALBANY,GA,UNITED STATES,3,263791
ALBERT EINSTEIN COL OF MED YESHIVA UNIV,BRONX,NY,UNITED STATES,214,66698754
ALBERT EINSTEIN MED CTR (PHILADELPHIA),PHILADELPHIA,PA,UNITED STATES,3,744744
ALBERTA CANCER BOARD,EDMONTON,,CANADA,1,105787
ALCOHOL SELF-CONTROL PROGRAM,ALBUQUERQUE,NM,UNITED STATES,2,105056
ALCORN STATE UNIVERSITY,ALCORN STATE,MS,UNITED STATES,2,269658
"ALDERON BIOSCIENCES, INC.",Beaufort,NC,UNITED STATES,3,551505
"ALEXION PHARMACEUTICALS, INC.",CHESHIRE,CT,UNITED STATES,2,569791
ALFRED E. MANN FOUNDATION/SCIENTIFIC RES,SANTA CLARITA,CA,UNITED STATES,3,648897
ALICE HAMILTON OCCUPATIONAL HLTH CENTER,WASHINGTON,DC,UNITED STATES,1,860000
ALION SCIENCE AND TECHNOLOGY CORP,DURHAM,NC,UNITED STATES,4,1009461
"ALKERMES, INC.",WALTHAM,MA,UNITED STATES,1,100000
ALLEGHENY GENERAL HOSP (PITTSBURGH),PITTSBURGH,PA,UNITED STATES,1,96714
ALLEGHENY UNIVERSITY OF HEALTH SCIENCES,PHILADELPHIA,PA,UNITED STATES,115,23171226
ALLEGHENY-SINGER RESEARCH INSTITUTE,PITTSBURGH,PA,UNITED STATES,10,1473489
ALLERGENE,SAN MATEO,CA,UNITED STATES,1,97549
"ALLIED TECHNOLOGY GROUP, INC.",ROCKVILLE,MD,UNITED STATES,4,519521
"ALLOS THERAPEUTICS, INC.",DENVER,CO,UNITED STATES,1,99700
ALMA COLLEGE,ALMA,MI,UNITED STATES,1,25878
"ALPHA GENESIS, INC.",YEMASSEE,SC,UNITED STATES,3,1127891
"ALPHA-BETA TECHNOLOGY, INC.",WORCESTER,MA,UNITED STATES,1,99382
ALPHATECH CORPORATION,ARLINGTON,VA,UNITED STATES,3,272188
ALTA BATES SUMMIT MEDICAL CENTER,BERKELEY,CA,UNITED STATES,1,244076
ALTARUM INSTITUTE,ANN ARBOR,MI,UNITED STATES,1,109650
"AMBION, INC.",AUSTIN,TX,UNITED STATES,2,313837
AMBULATORY SENTINEL PRACTICE NETWORK,DENVER,CO,UNITED STATES,1,723618
AMC CANCER RESEARCH CENTER,DENVER,CO,UNITED STATES,11,3183088
AMERICAN ACADEMY/HOSPICE & PALLIATIVE MD,GAINESVILLE,FL,UNITED STATES,1,93487
AMERICAN ACADEMY-CHILD/ADOLESCENT PSYCH,WASHINGTON,DC,UNITED STATES,2,528854
AMERICAN AGING ASSOCIATION,MEDIA,PA,UNITED STATES,1,13531
AMERICAN ASSN FOR DENTAL RESEARCH,WASHINGTON,DC,UNITED STATES,1,118277
AMERICAN ASSN FOR GERIATRIC PSYCHIATRY,GREENBELT,MD,UNITED STATES,1,68203
AMERICAN ASSOCIATION FOR CANCER RESEARCH,PHILADELPHIA,PA,UNITED STATES,3,362061
AMERICAN ASSOCIATION FOR STDY LIVER DIS,MIAMI,FL,UNITED STATES,1,6000
AMERICAN ASSOCIATION FOR THE ADV OF SCI,WASHINGTON,DC,UNITED STATES,5,553846
"AMERICAN BIOROBOTICS, INC.",TACOMA,WA,UNITED STATES,1,262266
"AMERICAN BIOSCIENCE, INC.",SANTA MONICA,CA,UNITED STATES,1,96500
"AMERICAN CANCER SOCIETY, INC.",ATLANTA,GA,UNITED STATES,1,282396
AMERICAN COLLEGE OF OB AND GYN,WASHINGTON,DC,UNITED STATES,6,5076052
AMERICAN COLLEGE OF RADIOLOGY,PHILADELPHIA,VA,UNITED STATES,10,7032795
AMERICAN COLLEGE OF SURGEONS,CHICAGO,IL,UNITED STATES,1,50000
AMERICAN DENTAL ASSOCIATION FOUNDATION,CHICAGO,IL,UNITED STATES,7,1742504
"AMERICAN FED OF ST, CO, & MUN EMPLOYEES",WASHINGTON,DC,UNITED STATES,1,650000
AMERICAN INSTITUTES FOR RESEARCH,WASHINGTON,DC,UNITED STATES,2,532828
AMERICAN NATIONAL RED CROSS,WASHINGTON,DC,UNITED STATES,32,8392159
AMERICAN NATIONAL RED CROSS LOS ANGELES,LOS ANGELES,CA,UNITED STATES,1,788351
AMERICAN NATIONAL RED CROSS SE MICHIGAN,DETROIT,MI,UNITED STATES,2,203384
AMERICAN NURSES' ASSOCIATION,KANSAS CITY,MO,UNITED STATES,1,296133
AMERICAN PHYSIOLOGICAL SOCIETY,BETHESDA,MD,UNITED STATES,2,76762
AMERICAN PSYCHIATRIC ASSOCIATION,ARLINGTON,DC,UNITED STATES,1,550577
AMERICAN PSYCHOLOGICAL ASSOCIATION,WASHINGTON,DC,UNITED STATES,4,948276
"AMERICAN REGISTRY OF PATHOLOGY, INC.",WASHINGTON,DC,UNITED STATES,1,77844
AMERICAN RESEARCH CORP OF VIRGINIA,RADFORD,VA,UNITED STATES,3,757364
AMERICAN SOCIETY FOR MICROBIOLOGY,WASHINGTON,DC,UNITED STATES,1,109643
AMERICAN SOCIETY OF HLTH-SYSTEM PHARMS,BETHESDA,MD,UNITED STATES,1,1
AMERICAN SOCIOLOGICAL ASSOCIATION,WASHINGTON,DC,UNITED STATES,1,478592
AMERICAN SPEECH-LANGUAGE-HEARING ASSN,ROCKVILLE,MD,UNITED STATES,1,24000
AMERICAN TYPE CULTURE COLLECTION,MANASSAS,VA,UNITED STATES,8,1379991
AMERICAN UNIVERSITY,WASHINGTON,DC,UNITED STATES,2,121266
AMERICAN UNIVERSITY OF BEIRUT,BEIRUT,,LEBANON,2,62501
AMHERST COLLEGE,AMHERST,MA,UNITED STATES,1,107252
AMPLICON CORPORATION,GREENLAWN,NY,UNITED STATES,1,99975
"AMPLISTAR, INC.",WINSTON-SALEM,NC,UNITED STATES,1,406641
AMRON CORPORATION,MC LEAN,VA,UNITED STATES,2,379131
"AMT, INC.",CHERRY HILL,NJ,UNITED STATES,1,100000
"ANALYSIS AND SIMULATION, INC.",BUFFALO,NY,UNITED STATES,1,360458
"ANALYTICA OF BRANFORD, INC.",BRANFORD,CT,UNITED STATES,2,513623
"ANALYTICAL BIOLOGICAL SERVICES, INC.",WILMINGTON,DE,UNITED STATES,1,76286
"ANALYTICAL SCIENCES, INC.",DURHAM,NC,UNITED STATES,2,70000
"ANALYTICAL SPECTRAL DEVICES, INC.",BOULDER,CO,UNITED STATES,1,98596
"ANATEK, INC.",KENNETT SQUARE,PA,UNITED STATES,2,174555
"ANATOLE J. SIPIN COMPANY, INC.",NEW YORK,NY,UNITED STATES,2,476687
"ANATRACE, INC.",Cleveland,OH,UNITED STATES,3,587336
ANN ARBOR BIOMEDICAL,ANN ARBOR,MI,UNITED STATES,1,99850
"ANNOVIS, INC.",ASTON,PA,UNITED STATES,2,199996
"ANTIGENICS, INC.",LEXINGTON,MA,UNITED STATES,2,418581
"APEX MEDICAL TECHNOLOGIES, INC.",SAN DIEGO,CA,UNITED STATES,1,0
"APFEL ENTERPRISES, INC.",NEW HAVEN,CT,UNITED STATES,1,100000
APPALACHIAN STATE UNIVERSITY,BOONE,NC,UNITED STATES,1,31537
"APPLIED BIOPHYSICS, INC.",TROY,NY,UNITED STATES,1,342601
"APPLIED BIOTECH CONCEPTS, INC.",NEW HAVEN,CT,UNITED STATES,2,350533
"APPLIED GENETICS LABORATORIES, INC.",MELBOURNE,FL,UNITED STATES,8,1044784
"APPLIED HEALTH SCIENCE, INC.",Birmingham,WA,UNITED STATES,1,80919
APPLIED IMAGING CORPORATION,SANTA CLARA,CA,UNITED STATES,1,98790
"APPLIED SCIENCES LABORATORY, INC.",ALBUQUERQUE,NM,UNITED STATES,1,96829
APPLIED SCIENCES RESEARCH,DANA POINT,CA,UNITED STATES,2,1353464
"APPLIED SYSTEM TECHNOLOGIES, INC.",ROCKVILLE,MD,UNITED STATES,3,872543
"APT FOUNDATION, INC.",NEW HAVEN,CT,UNITED STATES,2,786225
"APTEIN, INC.",SEATTLE,WA,UNITED STATES,1,87768
"AQUILENT, INC.",LAUREL,MD,UNITED STATES,4,332502
ARACOR,SUNNYVALE,CA,UNITED STATES,2,199958
"ARC PROFESSIONAL SERVICES GROUP, INC.",ROCKVILLE,MD,UNITED STATES,1,0
ARCADIA UNIVERSITY,GLENSIDE,PA,UNITED STATES,1,136057
ARGUS SOFTWARE,REDWOOD CITY,CA,UNITED STATES,1,90000
"ARIAD PHARMACEUTICALS, INC.",CAMBRIDGE,MA,UNITED STATES,4,1080138
ARIZONA STATE UNIVERSITY,TEMPE,AZ,UNITED STATES,36,6856280
ARKANSAS CHILDREN'S HOSP (LITTLE ROCK),LITTLE ROCK,AR,UNITED STATES,7,2171097
ARKANSAS CHILDREN'S HOSPITAL RES INST,LITTLE ROCK,AR,UNITED STATES,1,145603
ARLENE FINK ASSOCIATES,PACIFIC PALISADES,CA,UNITED STATES,1,352634
"ARMOOR OPHTHALMICS, INC.",HOUSTON,TX,UNITED STATES,1,98405
"ARONEX PHARMACEUTICALS, INC.",THE WOODLANDS,TX,UNITED STATES,5,498800
ARRAY VISION ENGINEERING COMPANY,COOPERSBURG,PA,UNITED STATES,1,93654
"ARTANN LABORATORIES, INC.",TRENTON,NJ,UNITED STATES,1,100000
ARTIFICIAL REALITY CORPORATION,VERNON,CT,UNITED STATES,1,100000
ASCENSION TECHNOLOGY CORPORATION,MILTON,VT,UNITED STATES,1,108627
ASCENT TECHNOLOGY,BOULDER,CO,UNITED STATES,1,100000
"ASH STEVENS, INC.",DETROIT,MI,UNITED STATES,3,100000
"ASIAN AMERICAN RECOVERY SERVICES, INC",SOUTH SAN FRANCISCO,CA,UNITED STATES,2,533523
ASIAN PACIFIC ENVIRONMENTAL NETWORK,OAKLAND,CA,UNITED STATES,1,158137
"ASPEN CANCER CONFERENCE, INC.",KENSINGTON,MD,UNITED STATES,1,5000
ASPEN SYSTEMS CORPORATION,ROCKVILLE,MD,UNITED STATES,1,110542
"ASSAY RESEARCH, INC.",COLLEGE PARK,MD,UNITED STATES,1,0
ASSN/MINORITY HEALTH PROFESSIONS SCHOOLS,ATLANTA,GA,UNITED STATES,1,1547364
ASSOCIATED UNIV-BROOKHAVEN NATL LAB,UPTON,NY,UNITED STATES,11,2725961
ASSOCIATION FOR RES IN VISION & OPHTHAL,ROCKVILLE,MD,UNITED STATES,1,44995
ASSOCIATION OF AMERICAN MEDICAL COLLEGES,WASHINGTON,DC,UNITED STATES,2,387830
"AST PRODUCTS, INC.",BILLERICA,MA,UNITED STATES,1,100000
"ASTHMA, INC.",SEATTLE,WA,UNITED STATES,1,467043
ATLANTIC MICROSYSTEMS INC.,HERNDON,VA,UNITED STATES,1,242398
ATLANTIC RESOURCES CORPORATION,RESTON,VA,UNITED STATES,2,770159
"ATLIS FEDERAL SERVICES, INC.",ROCKVILLE,MD,UNITED STATES,2,364533
"ATLIS SYSTEMS, INC.",ROCKVILLE,MD,UNITED STATES,3,511456
"ATOM SCIENCES, INC.",OAK RIDGE,TN,UNITED STATES,1,270529
"ATTO INSTRUMENTS, INC.",ROCKVILLE,MD,UNITED STATES,1,375000
AUBURN UNIVERSITY AT AUBURN,AUBURN UNIVERSITY,AL,UNITED STATES,15,1804398
"AUCKLAND UNISERVICES, LTD",AUCKLAND,,NEW ZEALAND,2,617275
AUDIOLOGICAL ENGINEERING CORPORATION,SOMERVILLE,MA,UNITED STATES,2,535552
"AUGMENTECH, INC.",PITTSBURGH,PA,UNITED STATES,1,94570
AUGUSTANA COLLEGE,ROCK ISLAND,IL,UNITED STATES,1,82251
AUSTRALIAN NATIONAL UNIVERSITY,CANBERRA,,AUSTRALIA,2,4485
"AUTOMATED CONTROL SYSTEMS, INC.",OREM,UT,UNITED STATES,1,99840
AVANIR PHARMACEUTICALS,ALISO VIEJO,CA,UNITED STATES,1,100000
