ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
"1ST PLAYABLE PRODUCTIONS, LLC",TROY,NY,UNITED STATES,2,374999
"21ST CENTURY THERAPEUTICS, INC.",DETROIT,MI,UNITED STATES,1,4784
"23ANDME, INC.",MOUNTAIN VIEW,CA,UNITED STATES,2,2018917
"2B TECHNOLOGIES, INC.",BOULDER,CO,UNITED STATES,1,484446
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,DURHAM,NC,UNITED STATES,6,2798672
"3DT HOLDINGS, LLC",SAN DIEGO,CA,UNITED STATES,2,1066789
"3HELIX, INC.",HOLLADAY,UT,UNITED STATES,1,149623
"480 BIOMEDICAL, INC.",WATERTOWN,MA,UNITED STATES,2,1387398
"490 BIOTECH, INC.",KNOXVILLE,TN,UNITED STATES,1,457746
"7 HILLS PHARMA, LLC",HOUSTON,TX,UNITED STATES,2,609636
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,10,5419122
"ABCAM, INC.",CAMBRIDGE,MA,UNITED STATES,1,598358
"ABCOMBI BIOSCIENCES, INC.",AMHERST,NY,UNITED STATES,1,300000
ABEOME CORPORATION,ATHENS,GA,UNITED STATES,1,809592
"ABILITA BIO, INC.",SAN DIEGO,CA,UNITED STATES,1,300000
"ABT MOLECULAR IMAGING, INC.",LOUISVILLE,TN,UNITED STATES,1,843368
"ABVIRO, LLC",BETHESDA,MD,UNITED STATES,2,5152302
"ABWIZ BIO, INC.",SAN DIEGO,CA,UNITED STATES,1,229600
"ABZYME THERAPEUTICS, LLC",POTTSTOWN,PA,UNITED STATES,3,1014817
ACADEMIC PEDIATRIC ASSOCIATION,MC LEAN,VA,UNITED STATES,2,156112
ACADEMISCH ZIEKENHUIS PARAMARIBO,PARAMARIBO,,SURINAME,1,376951
ACADEMYHEALTH,WASHINGTON,DC,UNITED STATES,1,50702
ACCEL DIAGNOSTICS,PITTSBURGH,PA,UNITED STATES,2,358051
"ACCELEREYES, LLC",ATLANTA,GA,UNITED STATES,1,146389
"ACCELERO BIOSTRUCTURES, INC.",FOSTER CITY,CA,UNITED STATES,1,223053
"ACCELEVIR DIAGNOSTICS, LLC",BALTIMORE,MD,UNITED STATES,1,259322
"ACELOT, INC.",SANTA BARBARA,CA,UNITED STATES,1,223325
"ACETAMINOPHEN TOXICITY DIAGNOSTICS, LLC",LITTLE ROCK,AR,UNITED STATES,1,875076
"ACHAOGEN, INC.",SOUTH SAN FRANCISCO,CA,UNITED STATES,1,2933817
"ACLARIS MEDICAL, LLC",FALCON HEIGHTS,MN,UNITED STATES,1,449996
ACMA SOCIAL MARKETING,SANTA FE,NM,UNITED STATES,1,587225
"ACORDA THERAPEUTICS, INC.",ARDSLEY,NY,UNITED STATES,1,889977
"ACOUSTIC BIOSYSTEMS, INC.",SANTE FE,NM,UNITED STATES,1,150000
"ACOUSTIC MEDSYSTEMS, INC.",Savoy,IL,UNITED STATES,2,962941
"ACPHARIS, INC.",HOLLISTON,MA,UNITED STATES,1,225000
"ACTINOBAC BIOMED, INC.",NORTH BRUNSWICK,NJ,UNITED STATES,1,140000
"ACTIVE MOTIF, INC.",CARLSBAD,CA,UNITED STATES,2,449995
"ACTORIUS PHARMACEUTICALS, LLC",OMAHA,NE,UNITED STATES,1,324985
"ACTUATED MEDICAL, INC.",BELLEFONTE,PA,UNITED STATES,5,3036494
"ACUMEN PHARMACEUTICALS, INC.",LIVERMORE,CA,UNITED STATES,1,222192
"ACUMEN, LLC",BURLINGAME,CA,UNITED STATES,3,641558
ADDIS ABABA UNIVERSITY,ADDIS ABABA,,ETHIOPIA,4,1052932
"ADECTO PHARMACEUTICALS, INC.",BROOKLINE,MA,UNITED STATES,2,363490
ADEPTRIX CORPORATION,BOSTON,MA,UNITED STATES,1,720069
ADERA,PESSAC Cedex,,FRANCE,1,749979
"ADIENT MEDICAL, INC.",PEARLAND,TX,UNITED STATES,1,620973
"ADP SILVER DENTAL ARREST, LLC",REDMOND,OR,UNITED STATES,1,150000
"ADT PHARMACEUTICALS, INC.",ORANGE BEACH,AL,UNITED STATES,1,300000
ADVAITA CORPORATION,PLYMOUTH,MI,UNITED STATES,1,586812
"ADVANCED BIOSCIENCE LABORATORIES, INC.",KENSINGTON,MD,UNITED STATES,39,42694228
"ADVANCED BRAIN MONITORING, INC.",CARLSBAD,CA,UNITED STATES,2,1364747
ADVANCED CYTOMETRY INSTRUMENTATION SYS,BUFFALO,NY,UNITED STATES,1,148067
