ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
149 MEDICAL INC.,BOLTON,MA,UNITED STATES,1,149969
"21ST CENTURY MEDICINE, INC.",FONTANA,CA,UNITED STATES,1,296095
3 I,DENVER,CO,UNITED STATES,1,394260
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,DURHAM,NC,UNITED STATES,4,1875009
"3DT HOLDINGS, LLC",SAN DIEGO,CA,UNITED STATES,5,2418523
"3HELIX, INC.",SALT LAKE CITY,UT,UNITED STATES,1,704620
"490 BIOTECH, INC.",KNOXVILLE,TN,UNITED STATES,1,499634
4E THERAPEUTICS INC.,AUSTIN,TX,UNITED STATES,1,1489451
"7 HILLS PHARMA, LLC",HOUSTON,TX,UNITED STATES,2,1245180
"712 NORTH, INC.",Berkeley,CA,UNITED STATES,1,224960
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,7,5192275
"AAVOGEN, INC.",ROCKVILLE,MD,UNITED STATES,2,225000
"ABALONE BIO, INC.",Richmond,CA,UNITED STATES,1,299999
"ABBE VISION, INC.",EDEN PRAIRIE,MN,UNITED STATES,1,219246
"ABCAM, INC.",CAMBRIDGE,MA,UNITED STATES,2,592632
"ABCURO, INC.",Newton,MA,UNITED STATES,1,257932
"ABILITA BIO, INC.",SAN DIEGO,CA,UNITED STATES,1,414770
"ABREOS BIOSCIENCES, INC.",SAN DIEGO,CA,UNITED STATES,2,742522
"ABRI SCIENCE, LLC",BALTIMORE,MD,UNITED STATES,1,225000
"ABVIRO, LLC",BETHESDA,MD,UNITED STATES,1,5381917
"ABZYME THERAPEUTICS, LLC",POTTSTOWN,PA,UNITED STATES,3,880156
ACADEMIC PEDIATRIC ASSOCIATION,MC LEAN,VA,UNITED STATES,1,141333
"ACADEMIC PHARMACEUTICALS, INC.",LAKE BLUFF,IL,UNITED STATES,2,311720
ACADEMICAL MEDICAL CENTER,AMSTERDAM,,NETHERLANDS,1,534233
ACADEMISCH ZIEKENHUIS PARAMARIBO,PARAMARIBO,,SURINAME,1,316608
ACADEMYHEALTH,WASHINGTON,DC,UNITED STATES,1,40152
"ACCEL DIAGNOSTICS, LLC",Houston,TX,UNITED STATES,2,942877
"ACCELERO BIOSTRUCTURES, INC.",SAN FRANCISCO,CA,UNITED STATES,1,486536
"ACCELEVIR DIAGNOSTICS, LLC",BALTIMORE,MD,UNITED STATES,1,1000000
"ACCENTS ON HEALTH, INC.",SAN DIEGO,CA,UNITED STATES,1,55000
"ACCESS SENSOR TECHNOLOGIES, LLC",FORT COLLINS,CO,UNITED STATES,1,225000
"ACCURONIX THERAPEUTICS, INC.",SAINT LOUIS,MO,UNITED STATES,1,220278
"ACEPRE, LLC",COLUMBIA,SC,UNITED STATES,1,38933
"ACOUSTIC MEDSYSTEMS, INC.",Savoy,IL,UNITED STATES,2,836883
"ACOUSTIC RANGE ESTIMATES, LLC",MILWAUKEE,WI,UNITED STATES,1,149800
"ACPHARIS, INC.",HOLLISTON,MA,UNITED STATES,1,149999
"ACTIVAS DIAGNOSTICS, LLC",Orono,ME,UNITED STATES,2,551596
"ACTIVE MOTIF, INC.",CARLSBAD,CA,UNITED STATES,1,1170177
"ACTUATED MEDICAL, INC.",BELLEFONTE,PA,UNITED STATES,7,2260890
"ACUMEN PHARMACEUTICALS, INC.",Charlottesville,VA,UNITED STATES,1,1135517
"ACUMEN, LLC",BURLINGAME,CA,UNITED STATES,1,486099
"ACURASTEM, INC.",Monrovia,CA,UNITED STATES,2,1581295
"ADAMAS NANOTECHNOLOGIES, INC.",RALIEGH,NC,UNITED STATES,1,55000
"ADAPTELLIGENCE, LLC",PULLMAN,WA,UNITED STATES,1,347739
"ADAPTIVE HEALTH, INC",CHICAGO,IL,UNITED STATES,1,997581
"ADAPTIVE TECHNOLOGY CONSULTING, LLC",MURFREESBORO,TN,UNITED STATES,1,546651
ADAPTIVE TESTING TECHNOLOGIES,CHICAGO,IL,UNITED STATES,1,224998
ADDIS ABABA UNIVERSITY,ADDIS ABABA,,ETHIOPIA,6,1381194
"ADECTO PHARMACEUTICALS, INC.",BROOKLINE,MA,UNITED STATES,3,1302084
ADELPHI UNIVERSITY,GARDEN CITY,NY,UNITED STATES,2,100313
"ADEPTHERA, LLC",PALO ALTO,CA,UNITED STATES,2,587062
ADERA,PESSAC Cedex,,FRANCE,1,1079838
"ADJUVANCE TECHNOLOGIES, INC.",NEW YORK,NY,UNITED STATES,1,1427022
"ADT PHARMACEUTICALS, LLC",ORANGE BEACH,AL,UNITED STATES,1,299963
"ADVAC THERAPEUTIC, LLC",PHILADELPHIA,PA,UNITED STATES,1,203101
"ADVANCED BIODEVICES, LLC",PRINCETON,NJ,UNITED STATES,1,999998
"ADVANCED BIOSCIENCE LABORATORIES, INC.",KENSINGTON,MD,UNITED STATES,37,36953217
"ADVANCED BRAIN MONITORING, INC.",CARLSBAD,CA,UNITED STATES,1,1499722
"ADVANCED CHEMOTHERAPY TECHNOLOGIES, INC.",RALEIGH,NC,UNITED STATES,2,773460
"ADVANCED IMAGING RESEARCH, INC.",CLEVELAND,OH,UNITED STATES,2,1596498
"ADVANCED MATERIALS TECHNOLOGY, INC.",WILMINGTON,DE,UNITED STATES,1,599198
ADVANCED MEDICAL ELECTRONICS CORPORATION,MAPLE GROVE,MN,UNITED STATES,4,3618212
ADVANCED SCIENCE RESEARCH CENTER,NEW YORK,NY,UNITED STATES,9,3445739
"ADVANCED TACTILE IMAGING, INC.",TRENTON,NJ,UNITED STATES,3,1218228
ADVANCES IN MINERAL METABOLISM,ROCHESTER,MN,UNITED STATES,1,22000
"ADVANTAGENE, INC",AUBURNDALE,MA,UNITED STATES,1,116400
ADVENTHEALTH ORLANDO,ORLANDO,FL,UNITED STATES,3,2048608
"ADVINOW, INC.",PARADISE VALLEY,AZ,UNITED STATES,1,149999
"ADYNXX, INC.",SAN FRANCISCO,CA,UNITED STATES,2,3461060
"AEON IMAGING, LLC",BLOOMINGTON,IN,UNITED STATES,3,883311
"AERODYNE MICROSYSTEMS, INC.",SANTA CLARA,CA,UNITED STATES,1,225000
"AEROSOL DEVICES, INC.",FORT COLLINS,CO,UNITED STATES,1,279307
"AEROSOL DYNAMICS, INC.",BERKELEY,CA,UNITED STATES,1,143980
"AERPIO THERAPEUTICS, INC.",CINCINNATI,OH,UNITED STATES,1,207281
"AETHLON MEDICAL, INC.",SAN DIEGO,CA,UNITED STATES,1,1860561
"AFASCI, INC.",REDWOOD CITY,CA,UNITED STATES,3,1038314
"AFFINERGY, LLC",DURHAM,NC,UNITED STATES,7,3793794
AFRICA UNIVERSITY,MUTARE,,ZIMBABWE,1,48600
AGA KHAN UNIVERSITY (PAKISTAN),KARACHI,,PAKISTAN,1,64933
"AGENEBIO, INC.",Baltimore,MD,UNITED STATES,4,6408618
"AGILVAX, INC.",ALBUQUERQUE,NM,UNITED STATES,1,845852
"AI BIOSCIENCES, INC.",COLLEGE STATION,TX,UNITED STATES,1,299652
"AINGEAL, LLC",BARRINGTON,RI,UNITED STATES,1,458853
"AIVOCODE, LLP",Encinitas,CA,UNITED STATES,1,402537
AIX-MARSEILLE UNIVERSITY,MARSEILLE,,FRANCE,1,129600
"AKONNI BIOSYSTEMS, INC.",FREDERICK,MD,UNITED STATES,2,3999952
"AKROTOME IMAGING, INC.",CLEVELAND,OH,UNITED STATES,1,281748
AKSTON BIOSCIENCES CORPORATION,BEVERLY,MA,UNITED STATES,1,978643
"ALA SCIENTIFIC INSTRUMENTS, INC.",FARMINGDALE,NY,UNITED STATES,1,739716
ALABAMA FIRE COLLEGE,TUSCALOOSA,AL,UNITED STATES,1,671468
ALABAMA STATE UNIVERSITY,MONTGOMERY,AL,UNITED STATES,2,888219
ALASKA COMMUNITY ACTION ON TOXICS (ACAT),Anchorage,AK,UNITED STATES,1,566587
ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,ANCHORAGE,AK,UNITED STATES,3,1597723
