ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
"13THERAPEUTICS, INC.",PORTLAND,OR,UNITED STATES,1,996265
"20/20 GENESYSTEMS, INC.",ROCKVILLE,MD,UNITED STATES,1,980392
"21ST CENTURY THERAPEUTICS, INC.",FERNDALE,MI,UNITED STATES,1,542156
"23ANDME, INC.",MOUNTAIN VIEW,CA,UNITED STATES,3,573253
"360FRESH, INC.",PALO ALTO,CA,UNITED STATES,1,542509
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,CARY,NC,UNITED STATES,8,3217105
"3D BIOMATRIX, INC.",Ann Arbor,MI,UNITED STATES,1,199134
"3D BIOTEK, LLC",NORTH BRUNSWICK,NJ,UNITED STATES,1,237965
"3DMD, LLC",ATLANTA,GA,UNITED STATES,1,381575
"3P BIOTECHNOLOGIES, INC.",PROSPECT,KY,UNITED STATES,1,253110
4 D TECHNOLOGY CORPORATION,TUCSON,AZ,UNITED STATES,1,495279
"A AND G PHARMACEUTICAL, INC.",COLUMBIA,MD,UNITED STATES,2,393259
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,KIRKSVILLE,MO,UNITED STATES,1,212806
"AADI, LLC",PACIFIC PALISADES,CA,UNITED STATES,1,472301
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,14,7304413
"ABLELINK TECHNOLOGIES, INC.",COLORADO SPRINGS,CO,UNITED STATES,2,611139
"AC DIAGNOSTICS, INC.",FAYETTEVILLE,AR,UNITED STATES,1,156371
"ACADEMIC EDGE, INC.",BLOOMINGTON,IN,UNITED STATES,1,212337
ACADEMIC PEDIATRIC ASSOCIATION,MC LEAN,VA,UNITED STATES,1,148112
"ACADIA PHARMACEUTICALS, INC.",SAN DIEGO,CA,UNITED STATES,1,300000
ACCEL DIAGNOSTICS,PITTSBURGH,PA,UNITED STATES,1,355563
"ACCELERATED MEDICAL DIAGNOSTICS, LLC",DAVIS,CA,UNITED STATES,2,1699863
"ACCELEREYES, LLC",Atlanta,GA,UNITED STATES,1,499601
"ACCENTS ON HEALTH, INC.",SAN DIEGO,CA,UNITED STATES,1,497642
"ACCESSIBLE DESIGNS, INC.",SAN ANTONIO,TX,UNITED STATES,2,881955
"ACELOT, INC.",SANTA BARBARA,CA,UNITED STATES,1,183000
"ACETAMINOPHEN TOXICITY DIAGNOSTICS, LLC",LITTLE ROCK,AR,UNITED STATES,1,698788
"ACLARIS MEDICAL, LLC",FALCON HEIGHTS,MN,UNITED STATES,1,350000
"ACOUSTIC MEDSYSTEMS, INC.",Savoy,IL,UNITED STATES,2,1162276
"ACPHARIS, INC.",HOLLISTON,MA,UNITED STATES,1,104898
"ACTINOBAC BIOMED, INC.",NORTH BRUNSWICK,NJ,UNITED STATES,1,202601
"ACTIVE LIFE SCIENTIFIC, INC.",SANTA BARBARA,CA,UNITED STATES,1,188739
"ACTIVESITE PHARMACEUTICALS, INC.",BERKELEY,CA,UNITED STATES,1,660118
"ACTUATED MEDICAL, INC.",BELLEFONTE,PA,UNITED STATES,3,1864143
ACUITYBIO CORPORATION,NEWTON,MA,UNITED STATES,1,498107
"ACUMEN, LLC",BURLINGAME,CA,UNITED STATES,4,956576
ACXEND,CHARLESTON,SC,UNITED STATES,1,161463
"ADAMAS PHARMACEUTICALS, INC.",EMERYVILLE,CA,UNITED STATES,1,337544
"ADARZA BIOSYSTEMS, INC.",WEST HENRIETTA,NY,UNITED STATES,1,27500
ADDIS ABABA UNIVERSITY,ADDIS ABABA,,ETHIOPIA,1,50000
ADEPTRIX CORPORATION,BOSTON,MA,UNITED STATES,1,349034
ADERA,PESSAC,,FRANCE,1,2496231
ADVAITA CORPORATION,Plymouth,MI,UNITED STATES,1,734239
"ADVANCED BIODEVICES, LLC",PRINCETON,NJ,UNITED STATES,1,430882
"ADVANCED BIOMEDICAL MACHINES, INC.",STONY BROOK,NY,UNITED STATES,1,682533
"ADVANCED BIOSCIENCE LABORATORIES, INC.",KENSINGTON,MD,UNITED STATES,16,25706869
"ADVANCED BRAIN MONITORING, INC.",CARLSBAD,CA,UNITED STATES,2,1103541
