ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
"21ST CENTURY THERAPEUTICS, INC.",DETROIT,MI,UNITED STATES,2,639485
"2B TECHNOLOGIES, INC.",BOULDER,CO,UNITED STATES,1,499734
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,DURHAM,NC,UNITED STATES,7,2686370
"3DT HOLDINGS, LLC",INDIANAPOLIS,CA,UNITED STATES,2,938260
"490 BIOTECH, INC.",KNOXVILLE,TN,UNITED STATES,4,1061942
"6SENSORLABS, INC.",SAN FRANCISCO,CA,UNITED STATES,1,213010
"A AND G PHARMACEUTICAL, INC.",COLUMBIA,MD,UNITED STATES,1,1000000
"AADI, LLC",PACIFIC PALISADES,CA,UNITED STATES,1,924745
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,15,7778846
"A'AS, INC.",NORRISTOWN,PA,UNITED STATES,1,224835
"ABREOS BIOSCIENCES, INC.",SAN DIEGO,CA,UNITED STATES,4,889239
"ABT MOLECULAR IMAGING, INC.",LOUISVILLE,TN,UNITED STATES,1,222828
"ABZYME THERAPEUTICS, LLC",POTTSTOWN,PA,UNITED STATES,3,674515
ACADEMIC PEDIATRIC ASSOCIATION,MC LEAN,VA,UNITED STATES,1,148112
ACADEMISCH ZIEKENHUIS PARAMARIBO,PARAMARIBO,,SURINAME,1,379887
ACCEL DIAGNOSTICS,PITTSBURGH,PA,UNITED STATES,1,225133
"ACCENTS ON HEALTH, INC.",SAN DIEGO,CA,UNITED STATES,1,904729
"ACCOUNTABILITY SOLUTIONS, LLC",SANTA FE,NM,UNITED STATES,1,491245
"ACHAOGEN, INC.",SOUTH SAN FRANCISCO,CA,UNITED STATES,1,1499801
"ACIONT, INC.",SALT LAKE CITY,UT,UNITED STATES,1,5000
"ACKCO, INC.",PHOENIX,AZ,UNITED STATES,1,198887
"ACOUSTIC MEDSYSTEMS, INC.",Savoy,IL,UNITED STATES,2,1400301
"ACTINOBAC BIOMED, INC.",NORTH BRUNSWICK,NJ,UNITED STATES,1,894222
"ACTIVE MOTIF, INC.",CARLSBAD,CA,UNITED STATES,1,224218
"ACTUATED MEDICAL, INC.",BELLEFONTE,PA,UNITED STATES,3,1047132
