ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
"A AND D BIOSCIENCE, INC.",SUDBURY,MA,UNITED STATES,1,100003
A CLINICAL & FUNCTIONAL MRI STUDY,SEATTLE,WA,UNITED STATES,1,321355
A PROSPECTIVE STUDY,DENVER,CO,UNITED STATES,2,110684
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,KIRKSVILLE,MO,UNITED STATES,2,226387
"A.U. SOFTWARE, INC.",WASHINGTON,DC,UNITED STATES,1,98324
"AAAS SCIENCE PUBLICATIONS, INC.",WASHINGTON,DC,UNITED STATES,1,6343
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,26,9136264
"AASTROM BIOSCIENCES, INC.",ANN ARBOR,MI,UNITED STATES,4,1044431
ABERDEEN AREA TRIBAL CHAIRMEN'S HLTH BRD,ABERDEEN,SD,UNITED STATES,1,700265
ABERDEEN AREA TRIBAL CHAIRMEN'S HLTH BRD,RAPID CITY,SD,UNITED STATES,1,33600
"ABIOMED, INC.",DANVERS,MA,UNITED STATES,6,3348463
ABRATECH CORPORATION,SAUSALITO,CA,UNITED STATES,1,351334
"ABT ASSOCIATES, INC.",CAMBRIDGE,MA,UNITED STATES,6,18336305
ABTECH CORPORATION,CHARLOTTESVILLE,VA,UNITED STATES,1,99669
"ACACIA BIOSCIENCES, INC.",RICHMOND,CA,UNITED STATES,5,580000
"ACAMBIS, INC.",CAMBRIDGE,MA,UNITED STATES,1,344889
ACCELERATOR TECHNOLOGY CORPORATION,BRYAN,TX,UNITED STATES,1,98400
"ACCSYS TECHNOLOGY, INC.",PLEASANTON,CA,UNITED STATES,1,177732
"ACCURAY, INC.",SUNNYVALE,CA,UNITED STATES,1,100000
"ACLARA BIOSCIENCES, INC.",HAYWARD,CA,UNITED STATES,1,99007
"ACME EXPRESS, INC.",CLEVELAND,OH,UNITED STATES,1,375883
"ACOUSTIC MEDICAL SYSTEMS, LLC",CHAMPAIGN,IL,UNITED STATES,1,464329
ACTUARIAL RESEARCH CORPORATION,ANNANDALE,VA,UNITED STATES,1,361175
"ADA TECHNOLOGIES, INC.",LITTLETON,CO,UNITED STATES,2,474891
"ADAPTIVE MEDICAL SYSTEMS, INC.",MILFORD,MA,UNITED STATES,2,434016
ADDICTION RESEARCH INSTITUTE,SOUTH BURLINGTON,VT,UNITED STATES,1,619774
"ADELPHI TECHNOLOGY, INC.",PALO ALTO,CA,UNITED STATES,1,464537
ADELPHI UNIVERSITY,GARDEN CITY,NY,UNITED STATES,1,25298
ADEZA BIOMEDICAL CORPORATION,SUNNYVALE,CA,UNITED STATES,1,250000
ADHERENCE TECHNOLOGIES CORPORATION,BURKE,VA,UNITED STATES,1,99992
ADIRONDACK BIOMEDICAL RESEARCH INSTITUTE,LAKE PLACID,NY,UNITED STATES,10,1483373
ADVANCED BIONICS CORPORATION,LOS ANGELES,CA,UNITED STATES,1,100000
"ADVANCED COCHLEAR SYSTEMS, INC.",SNOQUALMIE,WA,UNITED STATES,2,199919
"ADVANCED DIGITAL IMAGING RESEARCH, LLC",LEAGUE CITY,TX,UNITED STATES,2,381836
ADVANCED EXTRAVASCULAR SYSTEMS,LOS ANGELES,CA,UNITED STATES,1,100000
"ADVANCED IMAGING RESEARCH, INC.",CLEVELAND,OH,UNITED STATES,2,200000
ADVANCED MEDICAL ELECTRONICS CORPORATION,FRIDLEY,MN,UNITED STATES,4,1047945
"ADVANCED PHOTODYNAMIC TECHNOLOGIES, INC.",MENDOTA HEIGHTS,MN,UNITED STATES,1,98613
"ADVANCED SCIENTIFIC CONCEPTS, INC.",SANTA BARBARA,CA,UNITED STATES,2,617810
"ADVANCED SENSOR TECHNOLOGIES, INC.",FARMINGTON HILLS,MI,UNITED STATES,1,100000
"ADVANCED TARGETING SYSTEMS, INC.",SAN DIEGO,CA,UNITED STATES,1,404567
"ADVANCED THERAPIES, INC.",NOVATO,CA,UNITED STATES,1,99445
AFFILIATED SYSTEMS CORPORATION,HOUSTON,TX,UNITED STATES,4,1852142
"AFFINITY BIOREAGENTS, INC.",GOLDEN,CO,UNITED STATES,1,99689
"AFFYMETRIX, INC.",SANTA CLARA,CA,UNITED STATES,2,799961
AGOURON INSTITUTE,SAN DIEGO,CA,UNITED STATES,2,296148
"AGRIVAX, INC.",LOS ANGELES,CA,UNITED STATES,1,98866
"AI RESOURCES, INC.",BALTIMORE,MD,UNITED STATES,1,25000
AIDS COMMUNITY ALLIANCE,LANCASTER,PA,UNITED STATES,1,40000
"AIDS RESEARCH CONSORTIUM OF ATLANTA, INC",ATLANTA,GA,UNITED STATES,1,783098
ALABAMA AGRI AND MECH UNIVERSITY,NORMAL,AL,UNITED STATES,2,130772
ALABAMA STATE UNIVERSITY,MONTGOMERY,AL,UNITED STATES,3,366982
ALBANY COLLEGE OF PHARMACY,ALBANY,NY,UNITED STATES,4,668645
ALBANY MEDICAL COLLEGE,ALBANY,NY,UNITED STATES,45,7263859
"ALBANY MOLECULAR RESEARCH, INC.",ALBANY,NY,UNITED STATES,2,475193
ALBANY STATE UNIVERSITY,ALBANY,GA,UNITED STATES,1,39005
ALBERT EINSTEIN COL OF MED YESHIVA UNIV,NEW YORK,NY,UNITED STATES,293,99396819
ALBERT EINSTEIN MEDICAL CENTER,PHILADELPHIA,PA,UNITED STATES,2,134110
ALCORN STATE UNIVERSITY,LORMAN,MS,UNITED STATES,3,662558
"ALDERON BIOSCIENCES, INC.",DURHAM,NC,UNITED STATES,3,850084
"ALEM ASSOCIATES, INC.",BOSTON,MA,UNITED STATES,1,99998
ALFRED UNIVERSITY,ALFRED,NY,UNITED STATES,1,110446
"ALGENIX, INC.",SHOREVIEW,MN,UNITED STATES,1,100000
"ALKERMES, INC.",CAMBRIDGE,MA,UNITED STATES,1,380853
ALLEGHENY UNIVERSITY OF HEALTH SCIENCES,PHILADELPHIA,PA,UNITED STATES,153,33657391
ALLEGHENY-SINGER RESEARCH INSTITUTE,PITTSBURGH,PA,UNITED STATES,11,3700414
