ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
"21ST CENTURY THERAPEUTICS, INC.",FERNDALE,MI,UNITED STATES,1,338736
"23ANDME, INC.",MOUNTAIN VIEW,CA,UNITED STATES,1,561529
"2B TECHNOLOGIES, INC.",BOULDER,CO,UNITED STATES,1,149690
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,CARY,NC,UNITED STATES,5,1710808
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,DURHAM,NC,UNITED STATES,1,1054586
"3DT HOLDINGS, LLC",INDIANAPOLIS,IN,UNITED STATES,1,230895
"3P BIOTECHNOLOGIES, INC.",PROSPECT,KY,UNITED STATES,1,225000
"4DGENOME, INC.",DECATUR,GA,UNITED STATES,1,218556
"A AND G PHARMACEUTICAL, INC.",COLUMBIA,MD,UNITED STATES,1,69040
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,15,8023057
ABEOME CORPORATION,ATHENS,GA,UNITED STATES,1,242066
"ABIOMED, INC.",DANVERS,MA,UNITED STATES,1,428642
"ABREOS BIOSCIENCES, INC.",SAN DIEGO,CA,UNITED STATES,2,394541
"ABZYME THERAPEUTICS, LLC",MALVERN,PA,UNITED STATES,3,667909
ACADEMIC PEDIATRIC ASSOCIATION,MC LEAN,VA,UNITED STATES,1,148112
"ACADIA PHARMACEUTICALS, INC.",SAN DIEGO,CA,UNITED STATES,1,866941
"ACCELEREYES, LLC",ATLANTA,GA,UNITED STATES,1,499601
"ACCENTS ON HEALTH, INC.",SAN DIEGO,CA,UNITED STATES,2,688430
"ACCESS SENSOR TECHNOLOGIES, LLC",FORT COLLINS,CO,UNITED STATES,1,149999
"ACCOUNTABILITY SOLUTIONS, LLC",SANTA FE,NM,UNITED STATES,1,498741
"ACETAMINOPHEN TOXICITY DIAGNOSTICS, LLC",LITTLE ROCK,AR,UNITED STATES,1,59356
"ACHAOGEN, INC.",SOUTH SAN FRANCISCO,CA,UNITED STATES,1,407104
"ACIONT, INC.",SALT LAKE CITY,UT,UNITED STATES,1,955724
"ACLARIS MEDICAL, LLC",FALCON HEIGHTS,MN,UNITED STATES,1,25000
