ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
"13THERAPEUTICS, INC.",PORTLAND,OR,UNITED STATES,1,99687
"A AND D BIOSCIENCE, INC.",SUDBURY,MA,UNITED STATES,1,89896
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,KIRKSVILLE,MO,UNITED STATES,2,296622
"AAAS SCIENCE PUBLICATIONS, INC.",WASHINGTON,DC,UNITED STATES,1,115000
"AAC ASSOCIATES, INC.",VIENNA,VA,UNITED STATES,5,543302
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,21,6652668
"AASTROM BIOSCIENCES, INC.",ANN ARBOR,MI,UNITED STATES,2,266499
ABERDEEN AREA TRIBAL CHAIRMEN'S HLTH BRD,RAPID CITY,SD,UNITED STATES,1,644843
"ABIOMED, INC.",DANVERS,MA,UNITED STATES,6,2360395
ABRATECH CORPORATION,SAUSALITO,CA,UNITED STATES,6,798345
"ABT ASSOCIATES, INC.",CAMBRIDGE,MA,UNITED STATES,6,4129177
"ACADEMIC EDGE, INC.",BLOOMINGTON,IN,UNITED STATES,1,98943
ACADEMY OF NATURAL SCIENCES,PHILADELPHIA,PA,UNITED STATES,1,170760
ACADEMYHEALTH,WASHINGTON,DC,UNITED STATES,4,399077
"ACADIA PHARMACEUTICALS, INC.",SAN DIEGO,CA,UNITED STATES,1,207744
"ACAMBIS, INC.",CAMBRIDGE,MA,UNITED STATES,2,745558
"ACCSYS TECHNOLOGY, INC.",PLEASANTON,CA,UNITED STATES,1,572253
"ACLARA BIOSCIENCES, INC.",MOUNTAIN VIEW,CA,UNITED STATES,1,375360
"ACME EXPRESS, INC.",CLEVELAND,OH,UNITED STATES,1,374096
"ACORDA THERAPEUTICS, INC.",HAWTHORNE,NY,UNITED STATES,1,99173
ACTUARIAL RESEARCH CORPORATION,ANNANDALE,VA,UNITED STATES,2,447425
ACTUARIAL RESEARCH CORPORATION,COLUMBIA,MD,UNITED STATES,1,99999
"ADA TECHNOLOGIES, INC.",LITTLETON,CO,UNITED STATES,1,99938
"ADAPTIVE COMPUTER SYSTEMS, INC.",IOWA CITY,IA,UNITED STATES,1,100000
"ADAPTIVE MEDICAL SYSTEMS, INC.",MILFORD,MA,UNITED STATES,1,315938
ADDICTION RESEARCH AND TREATMENT CORP,NEW YORK,NY,UNITED STATES,2,150000
ADDICTION RESEARCH INSTITUTE,COLCHESTER,VT,UNITED STATES,2,589899
"ADELPHI TECHNOLOGY, INC.",SAN CARLOS,CA,UNITED STATES,1,83183
"ADIABATICS, INC.",SANTA CRUZ,CA,UNITED STATES,1,99521
ADIRONDACK BIOMEDICAL RESEARCH INSTITUTE,LAKE PLACID,NY,UNITED STATES,11,1833040
ADOLOR CORPORATION,EXTON,PA,UNITED STATES,1,99983
"ADRIA SP, INC.",ALBUQUERQUE,NM,UNITED STATES,2,300000
ADVANCED BIONICS CORPORATION,SYLMAR,CA,UNITED STATES,1,99550
