ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
"13THERAPEUTICS, INC.",PORTLAND,OR,UNITED STATES,1,99840
3D MOLECULAR DESIGNS,WAUWATOSA,WI,UNITED STATES,2,223331
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,KIRKSVILLE,MO,UNITED STATES,5,860950
"AAAS SCIENCE PUBLICATIONS, INC.",WASHINGTON,DC,UNITED STATES,1,178787
AAC INTERNATIONAL,LEBANON,NH,UNITED STATES,1,100000
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,13,5059050
"AASTROM BIOSCIENCES, INC.",ANN ARBOR,MI,UNITED STATES,2,881597
ABACUS GROUP,CRANSTON,RI,UNITED STATES,1,99990
"ABGENIX, INC.",FREMONT,CA,UNITED STATES,1,250000
ABILENE-TAYLOR COUNTY PUBLIC HEALTH,ABILENE,TX,UNITED STATES,1,11900
"ABIOMED, INC.",DANVERS,MA,UNITED STATES,2,725354
ABRATECH CORPORATION,SAUSALITO,CA,UNITED STATES,2,258987
"ABT ASSOCIATES, INC.",CAMBRIDGE,MA,UNITED STATES,2,502300
"ACADEMIC EDGE, INC.",BLOOMINGTON,IN,UNITED STATES,2,287589
ACADIA INSTITUTE,BAR HARBOR,ME,UNITED STATES,1,43455
"ACAMBIS, INC.",CAMBRIDGE,MA,UNITED STATES,1,1111767
"ACCUMED SYSTEMS, INC.",ANN ARBOR,MI,UNITED STATES,1,100000
"ACELL, INC.",CAMBRIDGE,MA,UNITED STATES,7,1118674
"ACERA BIOSCIENCES, INC.",HASTINGS,MN,UNITED STATES,1,100000
"ACORDA THERAPEUTICS, INC.",HAWTHORNE,NY,UNITED STATES,2,239371
ACROMETRIX CORPORATION,BENICIA,CA,UNITED STATES,1,98542
"ACRYMED, INC.",BEAVERTON,OR,UNITED STATES,2,616752
"ACTIVE MOTIF, INC.",CARLSBAD,CA,UNITED STATES,4,380026
"ACTIVE SIGNAL TECHNOLOGIES, INC.",LINTHICUM HEIGHTS,MD,UNITED STATES,3,917060
"ADA TECHNOLOGIES, INC.",LITTLETON,CO,UNITED STATES,2,199978
ADDICTION RESEARCH INSTITUTE,COLCHESTER,VT,UNITED STATES,1,1093141
"ADELPHI TECHNOLOGY, INC.",SAN CARLOS,CA,UNITED STATES,2,199292
ADELPHI UNIVERSITY,GARDEN CITY,NY,UNITED STATES,1,34687
"ADENOSINE THERAPEUTICS, LLC",CHARLOTTESVILLE,VA,UNITED STATES,2,200000
ADHERENCE TECHNOLOGIES CORPORATION,PURCELLVILLE,VA,UNITED STATES,1,205646
"ADIABATICS, INC.",SANTA CRUZ,CA,UNITED STATES,1,280914
"ADIPOGENIX, INC.",BOSTON,MA,UNITED STATES,1,602471
ADOLOR CORPORATION,EXTON,PA,UNITED STATES,3,881388
"ADVANCED BIOSYSTEMS, INC.",ALEXANDRIA,VA,UNITED STATES,1,247756
"ADVANCED BRAIN MONITORING, INC.",CARLSBAD,CA,UNITED STATES,3,325291
ADVANCED CELL TECHNOLOGY,WORCESTER,MA,UNITED STATES,2,422349
"ADVANCED COCHLEAR SYSTEMS, INC.",SNOQUALMIE,WA,UNITED STATES,1,349495
"ADVANCED DIGITAL IMAGING RESEARCH, LLC",LEAGUE CITY,TX,UNITED STATES,2,199993
ADVANCED EXTRAVASCULAR SYSTEMS,LOS ANGELES,CA,UNITED STATES,1,399840
"ADVANCED IMAGING RESEARCH, INC.",CLEVELAND,OH,UNITED STATES,3,1426127
ADVANCED LIQUID CRYSTAL TECHNOLOGIES,SUMMIT,NJ,UNITED STATES,2,176553
ADVANCED MEDICAL ELECTRONICS CORPORATION,MAPLE GROVE,MN,UNITED STATES,6,912100
ADVANCED MICROBIAL SOLUTIONS CORPORATION,MILFORD,MA,UNITED STATES,1,134286
"ADVANCED MRI TECHNOLOGY, LLC",SEBASTOPOL,CA,UNITED STATES,1,299297
ADVANCED PROCESS COMBINATORICS,WEST LAFAYETTE,IN,UNITED STATES,1,100000
ADVANCED RESEARCH CORPORATION,MINNEAPOLIS,MN,UNITED STATES,1,98720
"ADVANCED SENSOR TECHNOLOGIES, INC.",FARMINGTON HILLS,MI,UNITED STATES,1,99556
"ADVANCED TARGETING SYSTEMS, INC.",SAN DIEGO,CA,UNITED STATES,3,813766
"ADVANCED TISSUE SCIENCES, INC.",LA JOLLA,CA,UNITED STATES,3,986074
ADVOCATE HEALTH AND HOSPITALS CORP,OAK BROOK,IL,UNITED STATES,1,110080
"AEGEN BIOSCIENCES, INC.",ITHACA,NY,UNITED STATES,1,127920
"AEROPHASE, INC.",LONGMONT,CO,UNITED STATES,1,100000
"AEROSOL DYNAMICS, INC.",BERKELEY,CA,UNITED STATES,1,316427
"AEROVIRONMENT, INC.",MONROVIA,CA,UNITED STATES,1,74906
AFFERENT CORPORATION,PROVIDENCE,RI,UNITED STATES,3,300000
AFFILIATED SYSTEMS CORPORATION,HOUSTON,TX,UNITED STATES,2,1339697
"AFFYMETRIX, INC.",SANTA CLARA,CA,UNITED STATES,1,106139
AG BELL ASSN FOR DEAF & HARD OF HEARING,WASHINGTON,DC,UNITED STATES,1,29806
"AGENNIX, INC.",HOUSTON,TX,UNITED STATES,1,274703
"AGENTA BIOTECHNOLOGIES, INC.",BIRMINGHAM,AL,UNITED STATES,1,113397
"AGENTASE, LLC",PITTSBURGH,PA,UNITED STATES,1,95950
AGILIX CORPORATION,NEW HAVEN,CT,UNITED STATES,1,98573
AIDS RESEARCH ALLIANCE-CHICAGO,CHICAGO,IL,UNITED STATES,1,472365
"AIDS RESEARCH CONSORTIUM OF ATLANTA, INC",ATLANTA,GA,UNITED STATES,1,319361
AKWESASNE TASK FORCE ON THE ENVIRONMENT,HOGANSBURG,NY,UNITED STATES,2,292569
ALABAMA AGRI AND MECH UNIVERSITY,NORMAL,AL,UNITED STATES,3,100425
ALABAMA STATE UNIVERSITY,MONTGOMERY,AL,UNITED STATES,2,464460
"ALAMX, LLC",TUCSON,AZ,UNITED STATES,1,160232
ALAN GUTTMACHER INSTITUTE,NEW YORK,NY,UNITED STATES,1,149093
"ALAN PENN AND ASSOCIATES, INC.",ROCKVILLE,MD,UNITED STATES,1,99822
ALASKA CONSERVATION FOUNDATION,ANCHORAGE,AK,UNITED STATES,1,203725
ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,ANCHORAGE,AK,UNITED STATES,2,1268624
ALASKA STATE DEPARTMENT OF HLTH-SOC SVCS,JUNEAU,AK,UNITED STATES,1,29930
ALBANY COLLEGE OF PHARMACY,ALBANY,NY,UNITED STATES,2,495621
ALBANY MEDICAL COLLEGE,ALBANY,NY,UNITED STATES,52,9867975
"ALBANY MOLECULAR RESEARCH, INC.",ALBANY,NY,UNITED STATES,1,192199
ALBERT EINSTEIN COL OF MED YESHIVA UNIV,BRONX,NY,UNITED STATES,339,119515919
ALBERT EINSTEIN HEALTHCARE NETWORK,PHILADELPHIA,PA,UNITED STATES,4,695652
ALBERT LUDWIG UNIVERSITY OF FREIBURG,FREIBURG,,GERMANY,2,34832
ALBUQUERQUE AVIAN EXOTIC/SM ANIMAL CLINC,ALBUQUERQUE,NM,UNITED STATES,1,70342
ALCORN STATE UNIVERSITY,ALCORN STATE,MS,UNITED STATES,3,879050
"ALDERON BIOSCIENCES, INC.",Beaufort,NC,UNITED STATES,4,1407699
"ALEM ASSOCIATES, INC.",BOSTON,MA,UNITED STATES,2,475000
ALEUTIAN-PRIBILOF ISLAND ASSOCIATION,ANCHORAGE,AK,UNITED STATES,1,247564
ALFRED I. DU PONT HOSP FOR CHILDREN,WILMINGTON,DE,UNITED STATES,3,357003
"ALGENIX, INC.",ST. PAUL,MN,UNITED STATES,2,507467
"ALGLUTAMINE, LLC",CHARLOTTESVILLE,VA,UNITED STATES,1,100000
"ALKERMES, INC.",WALTHAM,MA,UNITED STATES,1,98980
ALLEGHENY-SINGER RESEARCH INSTITUTE,PITTSBURGH,PA,UNITED STATES,11,3834096
ALLELE BIOTECHNOLOGY AND PHARMACEUTICALS,SAN DIEGO,CA,UNITED STATES,3,448541
ALLIANCE OF GENETIC SUPPORT GROUPS,WASHINGTON,DC,UNITED STATES,2,175661
ALLIANCE PHARMACEUTICAL CORPORATION,SAN DIEGO,CA,UNITED STATES,1,187500
ALL-INDIA INSTITUTE OF MEDICAL SCIENCES,NEW DELHI,,INDIA,1,49100
"ALPHA GENESIS, INC.",YEMASSEE,SC,UNITED STATES,2,4726376
ALPHA-1 FOUNDATION,MIAMI,FL,UNITED STATES,1,30000
"ALPHATECH, INC.",BURLINGTON,MA,UNITED STATES,1,181745
"ALTEC, INC.",BOSTON,MA,UNITED STATES,2,626251
"ALTHEA TECHNOLOGIES, INC.",SAN DIEGO,CA,UNITED STATES,1,500000
"ALTHEXIS COMPANY, INC.",WALTHAM,MA,UNITED STATES,1,527025
ALTOR BIOSCIENCE CORPORATION,MIRAMAR,FL,UNITED STATES,1,93380
"ALTUS BIOLOGICS, INC.",CAMBRIDGE,MA,UNITED STATES,2,186807
"AMARILLO BIOSCIENCES, INC.",AMARILLO,TX,UNITED STATES,1,96284
AMBER WAVES SOFTWARE,LANCASTER,PA,UNITED STATES,1,100000
"AMBERGEN, INC",WATERTOWN,MA,UNITED STATES,5,1536871
"AMBION, INC.",AUSTIN,TX,UNITED STATES,4,497505
AMC CANCER RESEARCH CENTER,DENVER,CO,UNITED STATES,19,7646419
AMEDICA CORPORATION,SALT LAKE CITY,UT,UNITED STATES,2,457137
AMER SOC OF COLPOSCOPY & CERVICAL PATHOL,HAGERSTOWN,MD,UNITED STATES,1,7000
AMERICAN ACADEMY OF ADDICTION PSYCHIATRY,East Providence,RI,UNITED STATES,1,45000
AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,ROSEMONT,IL,UNITED STATES,1,25000
AMERICAN ACADEMY OF OTOLARYNGOLOGY-HEAD,ALEXANDRIA,VA,UNITED STATES,1,1188342
AMERICAN ACADEMY OF PEDIATRICS,ELK GROVE VILLAGE,IL,UNITED STATES,1,304864
AMERICAN ACADEMY-CHILD/ADOLESCENT PSYCH,WASHINGTON,DC,UNITED STATES,1,806398
AMERICAN AGING ASSOCIATION,MEDIA,PA,UNITED STATES,1,28950
AMERICAN ASSOCIATION FOR CANCER RESEARCH,PHILADELPHIA,PA,UNITED STATES,6,1273886
AMERICAN ASSOCIATION FOR DENTAL RESEARCH,ALEXANDRIA,VA,UNITED STATES,1,97395
AMERICAN ASSOCIATION FOR THE ADV OF SCI,WASHINGTON,DC,UNITED STATES,2,416550
AMERICAN ASSOCIATION OF IMMUNOLOGISTS,BETHESDA,MD,UNITED STATES,1,60480
"AMERICAN CANCER SOCIETY, INC.",ATLANTA,GA,UNITED STATES,1,90720
AMERICAN CARDIOVASCULAR RESEARCH INST,ATLANTA,GA,UNITED STATES,1,213474
AMERICAN COLLEGE OF OB AND GYN,WASHINGTON,DC,UNITED STATES,1,8400805
AMERICAN COLLEGE OF RADIOLOGY,RESTON,VA,UNITED STATES,7,21319659
AMERICAN COLLEGE OF RHEUMATOLOGY,ATLANTA,GA,UNITED STATES,2,49100
AMERICAN DENTAL ASSOCIATION FOUNDATION,CHICAGO,IL,UNITED STATES,5,946836
"AMERICAN FED OF ST, CO, & MUN EMPLOYEES",WASHINGTON,DC,UNITED STATES,1,717336
AMERICAN HEAD AND NECK SOCIETY,PITTSBURGH,PA,UNITED STATES,1,15000
AMERICAN INSTITUTES FOR RESEARCH,WASHINGTON,DC,UNITED STATES,2,309985
"AMERICAN MAGNETICS, INC.",OAK RIDGE,TN,UNITED STATES,1,142774
AMERICAN MEDICAL INFORMATICS ASSN,BETHESDA,MD,UNITED STATES,2,38980
AMERICAN NATIONAL RED CROSS,WASHINGTON,DC,UNITED STATES,33,8186781
AMERICAN OCCUPATIONAL THERAPY ASSN,BETHESDA,MD,UNITED STATES,1,8000
AMERICAN PHYSIOLOGICAL SOCIETY,BETHESDA,MD,UNITED STATES,5,656629
AMERICAN PSYCHIATRIC FOUNDATION,ARLINGTON,VA,UNITED STATES,3,1340741
AMERICAN PSYCHOLOGICAL ASSOCIATION,WASHINGTON,DC,UNITED STATES,7,2011247
"AMERICAN REGISTRY OF PATHOLOGY, INC.",WASHINGTON,DC,UNITED STATES,4,465647
AMERICAN RESEARCH CORP OF VIRGINIA,RADFORD,VA,UNITED STATES,1,200000
