ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
"20/20 GENESYSTEMS, INC.",ROCKVILLE,MD,UNITED STATES,3,508189
"21ST CENTURY THERAPEUTICS, INC.",SHELBY TOWNSHIP,MI,UNITED STATES,1,154852
"360FRESH, INC.",Palo Alto,CA,UNITED STATES,1,100000
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,CARY,NC,UNITED STATES,7,2329414
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,CARY,NC,UNITED STATES,2,1113986
"3D BIOTEK, LLC",NORTH BRUNSWICK,NJ,UNITED STATES,1,99902
"3RD MILLENNIUM, INC",WALTHAM,MA,UNITED STATES,1,79315
"A AND G PHARMACEUTICAL, INC.",COLUMBIA,MD,UNITED STATES,1,184029
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,KIRKSVILLE,MO,UNITED STATES,2,407508
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,12,6511180
ABBOTT NORTHWESTERN HOSPITAL,MINNEAPOLIS,MN,UNITED STATES,1,165526
"ABIOMED, INC.",DANVERS,MA,UNITED STATES,3,727712
"ABLELINK TECHNOLOGIES, INC.",COLORADO SPRINGS,CO,UNITED STATES,1,372518
"ABQMR, INC.",ALBUQUERQUE,NM,UNITED STATES,1,189480
ABRATECH CORPORATION,SAUSALITO,CA,UNITED STATES,1,437343
"ABT ASSOCIATES, INC.",CAMBRIDGE,MA,UNITED STATES,1,167177
"ACADEMIC EDGE, INC.",BLOOMINGTON,IN,UNITED STATES,1,100000
"ACADEMIC EDGE, INC.",BLOOMINGTON,IN,UNITED STATES,2,245181
"ACADEMIC PHARMACEUTICALS, INC.",LAKE BLUFF,IL,UNITED STATES,1,100188
ACADEMY FOR EDUCATIONAL DEVELOPMENT,WASHINGTON,DC,UNITED STATES,1,2659038
ACADEMY FOR EDUCATIONAL DEVELOPMENT,WASHINGTON,DC,UNITED STATES,1,113322
ACADEMY OF SCIENCES OF CZECH REPUBLIC,PRAGUE 4,,CZECH REPUBLIC,1,51202
"ACADUCEUS PHARMACEUTICS, INC.",CUPERTINO,CA,UNITED STATES,2,259988
"ACCENT MEDIA PRODUCTION, INC.",MC LEAN,VA,UNITED STATES,1,459769
ACCESS DUPAGE,CAROL STREAM,IL,UNITED STATES,1,27000
"ACCORD BIOMATERIALS, INC.",ANN ARBOR,MI,UNITED STATES,3,938779
"ACELOT, INC.",SANTA BARBARA,CA,UNITED STATES,1,420569
"ACETAMINOPHEN TOXICITY DIAGNOSTICS, LLC",LITTLE ROCK,AR,UNITED STATES,1,199795
ACMA SOCIAL MARKETING,SANTA FE,NM,UNITED STATES,1,100001
"ACOUSTIC MEDSYSTEMS, INC.",CHAMPAIGN,IL,UNITED STATES,1,1000000
ACOUSTIC THERAPEUTICS,PHILADELPHIA,PA,UNITED STATES,1,145340
"ACTIVATOR METHODS INTERNATIONAL, LTD",PHOENIX,AZ,UNITED STATES,1,98786
"ACTIVE MOTIF, INC.",CARLSBAD,CA,UNITED STATES,1,142932
"ACTIVESITE PHARMACEUTICALS, INC.",BERKELEY,CA,UNITED STATES,1,435382
"ACTUATED MEDICAL, INC.",Bellefonte,PA,UNITED STATES,3,403697
ACULIGHT CORPORATION,BOTHELL,WA,UNITED STATES,0,86133
"ADA TECHNOLOGIES, INC.",LITTLETON,CO,UNITED STATES,6,1703881
"ADARZA BIOSYSTEMS, INC.",WEST HENRIETTA,NY,UNITED STATES,1,885086
ADULT CONGENITAL HEART ASSOCIATION,PHILADELPHIA,PA,UNITED STATES,1,41843
ADVAITA CORPORATION,TROY,MI,UNITED STATES,1,146256
"ADVANCED BIODEVICES, LLC",PRINCETON,NJ,UNITED STATES,1,207980
"ADVANCED BIOMEDICAL MACHINES, INC.",STONY BROOK,NY,UNITED STATES,1,100231
"ADVANCED BIOSCIENCE LABORATORIES, INC.",KENSINGTON,MD,UNITED STATES,1,13830000
"ADVANCED CELL DIAGNOSTICS, INC.",HAYWARD,CA,UNITED STATES,1,547101
"ADVANCED CIRCULATORY SYSTEMS, INC.",EDEN PRAIRIE,MN,UNITED STATES,2,376343
"ADVANCED DATA SYSTEMS, INC.",BIRMINGHAM,AL,UNITED STATES,1,112033
"ADVANCED DIAGNOSTICS, LLC",SHERBORN,MA,UNITED STATES,1,322040
"ADVANCED GENETIC SYSTEMS, INC.",SAN FRANCISCO,CA,UNITED STATES,1,296696
ADVANCED HEARING CONCEPTS,BODEGA BAY,CA,UNITED STATES,1,442983
"ADVANCED IMMUNE THERAPEUTICS, INC.",WELLESLEY,MA,UNITED STATES,2,212205
ADVANCED LIQUID LOGIC,RESEARCH TRIANGLE PARK,NC,UNITED STATES,4,1313831
ADVANCED LIQUID LOGIC,RESEARCH TRIANGLE PARK,NC,UNITED STATES,1,5217652
"ADVANCED MATERIALS TECHNOLOGY, INC.",WILMINGTON,DE,UNITED STATES,1,305000
ADVANCED MEDICAL ELECTRONICS CORPORATION,MAPLE GROVE,MN,UNITED STATES,6,2004446
"ADVANCED MICROLABS, LLC",FORT COLLINS,CO,UNITED STATES,1,447523
"ADVANCED MRI TECHNOLOGY, LLC",SEBASTOPOL,CA,UNITED STATES,2,787405
"ADVANCED NEURAL DYNAMICS, INC.",DOYLESTOWN,PA,UNITED STATES,1,296040
"ADVANCED REFRIGERATION TECHNOLOGIES, INC",BOULDER,CO,UNITED STATES,1,150000
"ADVANCED TARGETING SYSTEMS, INC.",SAN DIEGO,CA,UNITED STATES,1,99175
ADVANCES IN MINERAL METABOLISM,ROCHESTER,MN,UNITED STATES,1,15000
"ADVANTAGENE, INC",Auburndale,MA,UNITED STATES,2,1983389
"ADVAXIS, INC.",North Brunswick,NJ,UNITED STATES,1,210739
ADVOCACY FOR PATIENTS / CHRONIC ILLNESS,FARMINGTON,CT,UNITED STATES,1,25000
"AEGIS BIOSCIENCES, LLC",SPOKANE,WA,UNITED STATES,1,441383
"AEON IMAGING, LLC",BLOOMINGTON,IN,UNITED STATES,1,247389
"AERODYNE RESEARCH, INC",BILLERICA,MA,UNITED STATES,1,995077
"AEROMICS, LLC",Cleveland,OH,UNITED STATES,1,300000
"AEROPHASE, INC.",LONGMONT,CO,UNITED STATES,1,775040
"AEROSOL DYNAMICS, INC.",BERKELEY,CA,UNITED STATES,1,366445
"AFASCI, INC.",BURLINGAME,CA,UNITED STATES,2,575704
"AFFINERGY ,INC",RESEARCH TRIANGLE PARK,NC,UNITED STATES,11,7525254
"AFFOMIX, INC.",GUILFORD,CT,UNITED STATES,1,100000
"AFRAME DIGITAL, INC.",LOVETTSVILLE,VA,UNITED STATES,1,99932
AGA KHAN UNIVERSITY,KARACHI,,PAKISTAN,4,476311
"AGENNIX, INC.",HOUSTON,TX,UNITED STATES,2,1392345
"AGENTA BIOTECHNOLOGIES, INC.",BIRMINGHAM,AL,UNITED STATES,1,479707
"AGENTASE, LLC",PITTSBURGH,PA,UNITED STATES,1,354142
"AGENTSHEETS, INC.",BOULDER,CO,UNITED STATES,0,60413
"AGILENT TECHNOLOGIES, INC.",SANTA CLARA,CA,UNITED STATES,1,496402
"AGILTRON, INC.",WOBURN,MA,UNITED STATES,1,99982
AGNES SCOTT COLLEGE,DECATUR,GA,UNITED STATES,2,267404
"AJ MEDICAL DEVICES, INC.",Wilmette,IL,UNITED STATES,1,988145
"AKESO HEALTH SCIENCES, LLC",WESTLAKE VILLAGE,CA,UNITED STATES,1,483625
"AKINA, INC.",WEST LAFAYETTE,IN,UNITED STATES,2,468659
"AKONNI BIOSYSTEMS, INC.",Frederick,MD,UNITED STATES,1,999468
"AKTIV-DRY, LLC",BOULDER,CO,UNITED STATES,1,577005
ALABAMA STATE UNIVERSITY,MONTGOMERY,AL,UNITED STATES,1,337239
ALAN GUTTMACHER INSTITUTE,NEW YORK,NY,UNITED STATES,2,565278
ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,ANCHORAGE,AK,UNITED STATES,0,5727
ALBANY COLLEGE OF PHARMACY,ALBANY,NY,UNITED STATES,4,926557
ALBANY MEDICAL COLLEGE,ALBANY,NY,UNITED STATES,38,11024764
ALBANY STATE UNIVERSITY,ALBANY,GA,UNITED STATES,3,993107
"ALBA-TECHNIC, LLC",ARUNDEL,ME,UNITED STATES,1,156592
ALBERT EINSTEIN COL OF MED YESHIVA UNIV,BRONX,NY,UNITED STATES,4,4480731
ALBERT EINSTEIN COL OF MED YESHIVA UNIV,BRONX,NY,UNITED STATES,314,135352485
ALBERT EINSTEIN HEALTHCARE NETWORK,PHILADELPHIA,PA,UNITED STATES,2,1395839
ALCOR BIOSEPARATIONS,PALO ALTO,CA,UNITED STATES,1,222036
ALCORN STATE UNIVERSITY,ALCORN STATE,MS,UNITED STATES,2,334229
"ALDERON BIOSCIENCES, INC.",Newport,NC,UNITED STATES,3,850649
ALEXIAN BROTHERS MEDICAL CENTER,ELK GROVE VILLAGE,IL,UNITED STATES,1,404389
ALFRED I. DU PONT HOSP FOR CHILDREN,WILMINGTON,DE,UNITED STATES,5,1348633
"ALINEA GROUP, LLC",SAN FRANCISCO,CA,UNITED STATES,1,30000
ALION SCIENCE AND TECHNOLOGY CORP,DURHAM,NC,UNITED STATES,1,2237942
ALLAN HANCOCK COLLEGE,SANTA MARIA,CA,UNITED STATES,1,162501
ALLEGHENY-SINGER RESEARCH INSTITUTE,PITTSBURGH,PA,UNITED STATES,3,1105227
"ALLEGRO DIAGNOSTICS, INC.",BOSTON,MA,UNITED STATES,1,277875
ALLELE BIOTECHNOLOGY AND PHARMACEUTICALS,SAN DIEGO,CA,UNITED STATES,1,150000
ALLEN INSTITUTE FOR BRAIN SCIENCE,SEATTLE,WA,UNITED STATES,1,3168803
ALLEN INSTITUTE FOR BRAIN SCIENCE,SEATTLE,WA,UNITED STATES,3,1173609
ALLIANCE FOR COMMUNITY RESEARCH & DEV,MERCED,CA,UNITED STATES,1,102257
"ALLIED INNOVATIVE SYSTEMS, LLC",Hillsborough,NJ,UNITED STATES,1,95420
"ALLTRANZ, INC.",LEXINGTON,KY,UNITED STATES,1,115025
"ALLUVIUM BIOSCIENCES, INC.",ANN ARBOR,MI,UNITED STATES,1,322693
ALMA COLLEGE,ALMA,MI,UNITED STATES,1,65488
ALNYLAM PHARMACEUTICALS,CAMBRIDGE,MA,UNITED STATES,1,1227753
"ALPHA GENESIS, INC.",YEMASSEE,SC,UNITED STATES,1,2108482
"ALPHA UNIVERSE, LLC",MADISON,WI,UNITED STATES,1,231314
"ALPHAMED, INC",ACTON,MA,UNITED STATES,2,468211
"ALPHAMED, INC",Wrentham,MA,UNITED STATES,1,150000
"ALPHAVAX HUMAN VACCINES, INC.",RESEARCH TRIANGLE PARK,NC,UNITED STATES,2,1896158
"ALTEC, INC.",BOSTON,MA,UNITED STATES,1,446520
ALTOR BIOSCIENCE CORPORATION,MIRAMAR,FL,UNITED STATES,3,1366736
ALWAYSON MRI,WELLESLEY,MA,UNITED STATES,1,96721
ALZHEIMER'S DRUG DISCOVERY FOUNDATION,NEW YORK,NY,UNITED STATES,1,101500
"AM BIOTECHNOLOGIES, LLC",Houston,TX,UNITED STATES,2,223207
"AMAR INTERNATIONAL, INC.",RESTON,VA,UNITED STATES,1,1579415
"AMBERGEN, INC",Watertown,MA,UNITED STATES,7,3490893
"AMBION DIAGNOSTICS, INC.",AUSTIN,TX,UNITED STATES,7,3063007
AMERICAN ACADEMY OF ADDICTION PSYCHIATRY,Providence,RI,UNITED STATES,1,50000
AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,ROSEMONT,IL,UNITED STATES,1,25000
AMERICAN ACADEMY OF PEDIATRICS,ELK GROVE VILLAGE,IL,UNITED STATES,1,15000
AMERICAN ACADEMY-CHILD/ADOLESCENT PSYCH,WASHINGTON,DC,UNITED STATES,1,1248747
AMERICAN ASSOCIATION FOR CANCER RESEARCH,PHILADELPHIA,PA,UNITED STATES,5,962655
AMERICAN ASSOCIATION FOR DENTAL RESEARCH,ALEXANDRIA,VA,UNITED STATES,2,80000
AMERICAN ASSOCIATION FOR THE ADV OF SCI,WASHINGTON,DC,UNITED STATES,1,253408
AMERICAN AUTOIMMUNE RELATED DIS ASSOC,EASTPOINTE,MI,UNITED STATES,1,7000
"AMERICAN BIOOPTICS, LLC",Evanston,IL,UNITED STATES,1,346336
"AMERICAN CANCER SOCIETY, INC.",ATLANTA,GA,UNITED STATES,2,610218
AMERICAN CHEMICAL SOCIETY,WASHINGTON,DC,UNITED STATES,1,6500
AMERICAN COLLEGE OF RADIOLOGY,RESTON,VA,UNITED STATES,5,24514041
AMERICAN COLLEGE OF RHEUMATOLOGY,ATLANTA,GA,UNITED STATES,1,40000
AMERICAN DENTAL ASSOCIATION FOUNDATION,CHICAGO,IL,UNITED STATES,6,1542875
"AMERICAN FED OF ST, CO, & MUN EMPLOYEES",WASHINGTON,DC,UNITED STATES,1,644270
AMERICAN FEDERATION FOR AGING RESEARCH,NEW YORK,NY,UNITED STATES,1,20000
AMERICAN FEDERATION FOR MEDICAL RESEARCH,BEVERLY,MA,UNITED STATES,1,54090
AMERICAN FOUNDATION FOR AIDS RESEARCH,NEW YORK,NY,UNITED STATES,1,1265804
AMERICAN INSTITUTES FOR RESEARCH,WASHINGTON,DC,UNITED STATES,3,1590537
AMERICAN INSTITUTES FOR RESEARCH,WASHINGTON,DC,UNITED STATES,2,1972245
AMERICAN LIFE SCIENCE PHARMACEUTICALS,SAN DIEGO,CA,UNITED STATES,3,1209974
