ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
"23ANDME, INC.",MOUNTAIN VIEW,CA,UNITED STATES,1,241905
"2B TECHNOLOGIES, INC.",BOULDER,CO,UNITED STATES,1,149492
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,DURHAM,NC,UNITED STATES,4,1863426
"3DT HOLDINGS, LLC",SAN DIEGO,CA,UNITED STATES,4,2282066
"3P BIOTECHNOLOGIES, INC.",PROSPECT,KY,UNITED STATES,1,719680
"480 BIOMEDICAL, INC.",WATERTOWN,MA,UNITED STATES,1,945564
"490 BIOTECH, INC.",KNOXVILLE,TN,UNITED STATES,2,1018818
"A AND G PHARMACEUTICAL, INC.",COLUMBIA,MD,UNITED STATES,2,1307315
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,KIRKSVILLE,MO,UNITED STATES,1,384317
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,7,4096656
"AAVOGEN, INC.",ROCKVILLE,MD,UNITED STATES,1,1206955
"ABCAM, INC.",CAMBRIDGE,MA,UNITED STATES,1,195000
"ABCOMBI BIOSCIENCES, INC.",AMHERST,NY,UNITED STATES,1,49900
ABEOME CORPORATION,ATHENS,GA,UNITED STATES,1,672880
"ABLELINK TECHNOLOGIES, INC.",COLORADO SPRINGS,CO,UNITED STATES,1,132454
"ABREOS BIOSCIENCES, INC.",SAN DIEGO,CA,UNITED STATES,2,983979
"ABT MOLECULAR IMAGING, INC.",LOUISVILLE,TN,UNITED STATES,1,711781
"ABVIRO, LLC",BETHESDA,MD,UNITED STATES,2,9353702
"ABZYME THERAPEUTICS, LLC",POTTSTOWN,PA,UNITED STATES,3,1211359
"ACADEMIC PHARMACEUTICALS, INC.",LAKE BLUFF,IL,UNITED STATES,1,149980
ACADEMISCH ZIEKENHUIS PARAMARIBO,PARAMARIBO,,SURINAME,1,351123
ACADEMYHEALTH,WASHINGTON,DC,UNITED STATES,1,38294
