ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
"13THERAPEUTICS, INC.",PORTLAND,OR,UNITED STATES,2,411653
"20/20 GENESYSTEMS, INC.",ROCKVILLE,MD,UNITED STATES,1,177279
"21ST CENTURY MEDICINE, INC.",RANCHO CUCAMONGA,CA,UNITED STATES,1,184915
"2B TECHNOLOGIES, INC.",GOLDEN,CO,UNITED STATES,1,80455
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,CARY,NC,UNITED STATES,2,685082
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,CARY,NC,UNITED STATES,3,901649
"3D IMAGING, LLC",BEDFORD,AR,UNITED STATES,1,121290
3D MOLECULAR DESIGNS,WAUWATOSA,WI,UNITED STATES,1,343702
3TP IMAGING SCIENCES,WHITE PLAINS,NY,UNITED STATES,1,167739
454 LIFE SCIENCES CORPORATION,BRANFORD,CT,UNITED STATES,1,1590881
"A & N ASSOCIATES, INC.",LINTHICUM HEIGHTS,MD,UNITED STATES,1,15000
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,KIRKSVILLE,MO,UNITED STATES,1,108000
"AAC ASSOCIATES, INC.",VIENNA,VA,UNITED STATES,1,50000
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,15,6850995
"AASTROM BIOSCIENCES, INC.",ANN ARBOR,MI,UNITED STATES,2,947697
"ABC-CLIO, INC.",SANTA BARBARA,CA,UNITED STATES,2,5838
ABERDEEN AREA TRIBAL CHAIRMEN'S HLTH BRD,RAPID CITY,SD,UNITED STATES,1,476007
"ABIOMED, INC.",DANVERS,MA,UNITED STATES,1,416551
"ABL ASSOCIATES, INC.",KENSINGTON,MD,UNITED STATES,1,390691
"ABLELINK TECHNOLOGIES, INC.",COLORADO SPRINGS,CO,UNITED STATES,1,368581
"ABOUT WEB, LLC",ROCKVILLE,MD,UNITED STATES,1,5076
ABRATECH CORPORATION,SAUSALITO,CA,UNITED STATES,1,392243
"ABT ASSOCIATES, INC.",CAMBRIDGE,MA,UNITED STATES,2,355716
