ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
"10 BLADE, INC.",WESTON,MA,UNITED STATES,1,312897
"20/20 GENESYSTEMS, INC.",ROCKVILLE,MD,UNITED STATES,1,100000
"21ST CENTURY MEDICINE, INC.",RANCHO CUCAMONGA,CA,UNITED STATES,2,785083
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,CARY,NC,UNITED STATES,7,1719323
3D MOLECULAR DESIGNS,WAUWATOSA,WI,UNITED STATES,1,149917
454 LIFE SCIENCES CORPORATION,BRANFORD,CT,UNITED STATES,2,2244940
"A AND G PHARMACEUTICAL, INC.",COLUMBIA,MD,UNITED STATES,2,287385
A. P. PHARMA,REDWOOD CITY,CA,UNITED STATES,1,99085
"A.D.A.M., INC.",ATLANTA,GA,UNITED STATES,1,410001
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,KIRKSVILLE,MO,UNITED STATES,3,601900
AAC INTERNATIONAL,LEBANON,NH,UNITED STATES,1,367866
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,10,5019692
"AASTROM BIOSCIENCES, INC.",ANN ARBOR,MI,UNITED STATES,3,467532
ABEOME CORPORATION,ATHENS,GA,UNITED STATES,2,200000
"ABIOMED, INC.",DANVERS,MA,UNITED STATES,3,281280
"ABL ASSOCIATES, INC.",POTOMAC,MD,UNITED STATES,1,4060355
"ABLELINK TECHNOLOGIES, INC.",COLORADO SPRINGS,CO,UNITED STATES,1,90320
ABRATECH CORPORATION,SAUSALITO,CA,UNITED STATES,3,829704
"ABT ASSOCIATES, INC.",CAMBRIDGE,MA,UNITED STATES,2,567316
"ACADEMIC EDGE, INC.",BLOOMINGTON,IN,UNITED STATES,1,169477
ACADEMY FOR EDUCATIONAL DEVELOPMENT,WASHINGTON,DC,UNITED STATES,1,350952
ACADEMY OF MOLECULAR IMAGING,LOS ANGELES,CA,UNITED STATES,1,19475
ACADEMYHEALTH,WASHINGTON,DC,UNITED STATES,1,74800
"ACAMBIS, INC.",CAMBRIDGE,MA,UNITED STATES,2,67445731
ACCELERATIONS EDUCATIONAL SOFTWARE,COLUMBIA,SC,UNITED STATES,2,202854
ACCLAIM BIOTECHNOLOGY,HOUSTON,TX,UNITED STATES,1,100000
"ACCUMED SYSTEMS, INC.",ANN ARBOR,MI,UNITED STATES,1,683709
"ACELL, INC.",CAMBRIDGE,MA,UNITED STATES,2,228363
