ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
"13THERAPEUTICS, INC.",PORTLAND,OR,UNITED STATES,1,99800
"21ST CENTURY MEDICINE, INC.",RANCHO CUCAMONGA,CA,UNITED STATES,1,154641
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,CARY,NC,UNITED STATES,3,544961
3D MOLECULAR DESIGNS,WAUWATOSA,WI,UNITED STATES,2,297506
"A AND G PHARMACEUTICAL, INC.",COLUMBIA,MD,UNITED STATES,1,253575
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,KIRKSVILLE,MO,UNITED STATES,2,358691
AAC INTERNATIONAL,LEBANON,NH,UNITED STATES,1,382129
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,11,5090107
"AASTROM BIOSCIENCES, INC.",ANN ARBOR,MI,UNITED STATES,5,621379
ABACUS GROUP,CRANSTON,RI,UNITED STATES,1,501773
"ABIOMED, INC.",DANVERS,MA,UNITED STATES,2,199525
"ABL ASSOCIATES, INC.",POTOMAC,MD,UNITED STATES,1,5129837
ABRATECH CORPORATION,SAUSALITO,CA,UNITED STATES,3,759913
"ABT ASSOCIATES, INC.",CAMBRIDGE,MA,UNITED STATES,2,675173
"AC TECHNOLOGIES, INC.",FAIRFAX,VA,UNITED STATES,1,1680558
"ACADEMIC EDGE, INC.",BLOOMINGTON,IN,UNITED STATES,1,386850
ACADEMY FOR EDUCATIONAL DEVELOPMENT,WASHINGTON,DC,UNITED STATES,1,360644
ACADEMYHEALTH,WASHINGTON,DC,UNITED STATES,4,229691
"ACAMBIS, INC.",CAMBRIDGE,MA,UNITED STATES,1,9242
"ACCENTURE, LLP",RESTON,VA,UNITED STATES,1,25970
"ACCESS CONSULTING INTRNTL, INC.",WASHINGTON,DC,UNITED STATES,1,90518
"ACELL, INC.",CAMBRIDGE,MA,UNITED STATES,1,262426
"ACENTA DISCOVERY, INC.",TUCSON,AZ,UNITED STATES,1,391903
"ACERA BIOSCIENCES, INC.",WAYZATA,MN,UNITED STATES,1,144013
"ACORDA THERAPEUTICS, INC.",HAWTHORNE,NY,UNITED STATES,3,540071
"ACTIVE MOTIF, INC.",CARLSBAD,CA,UNITED STATES,2,199350
"ACTIVE SIGNAL TECHNOLOGIES, INC.",COCKEYSVILLE,MD,UNITED STATES,2,455864
"ACTIVMEDIA ROBOTICS, LLC",PETERBOROUGH,NH,UNITED STATES,1,500774
ACTIVX BIOSCIENCES,LA JOLLA,CA,UNITED STATES,1,504250
"ADA TECHNOLOGIES, INC.",LITTLETON,CO,UNITED STATES,5,978984
"ADAPTIVE THERAPEUTICS, INC.",SAN DIEGO,CA,UNITED STATES,1,100000
ADDICTION RESEARCH INSTITUTE,ZURICH,,SWITZERLAND,1,135000
ADDICTION RESEARCH INSTITUTE,COLCHESTER,VT,UNITED STATES,1,450932
"ADELPHI TECHNOLOGY, INC.",PALO ALTO,CA,UNITED STATES,1,383514
ADELPHI UNIVERSITY,GARDEN CITY,NY,UNITED STATES,2,71962
"ADENOSINE THERAPEUTICS, LLC",CHARLOTTESVILLE,VA,UNITED STATES,4,1394350
ADHERENCE TECHNOLOGIES CORPORATION,BURKE,VA,UNITED STATES,3,765352
"ADIABATICS, INC.",ELLICOTT CITY,MD,UNITED STATES,1,197476
"ADIPOGENIX, INC.",BOSTON,MA,UNITED STATES,2,199838
ADVANCED BIONICS CORPORATION,SYLMAR,CA,UNITED STATES,2,443167
