ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,KIRKSVILLE,MO,UNITED STATES,3,356221
"AAC ASSOCIATES, INC.",VIENNA,VA,UNITED STATES,10,1097158
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,3,629946
ABBOTT LABORATORIES,NORTH CHICAGO,IL,UNITED STATES,4,1757241
"ABIOMED, INC.",DANVERS,MA,UNITED STATES,6,2161146
ABRATECH CORPORATION,SAUSALITO,CA,UNITED STATES,1,450411
"ABT ASSOCIATES, INC.",CAMBRIDGE,MA,UNITED STATES,2,1057455
ACADEMY OF NATURAL SCIENCES,PHILADELPHIA,PA,UNITED STATES,1,132925
"ACAMBIS, INC.",CAMBRIDGE,MA,UNITED STATES,2,262807
ACTUARIAL RESEARCH CORPORATION,ANNANDALE,VA,UNITED STATES,1,74327
ADDICTION RESEARCH AND TREATMENT CORP,NEW YORK,NY,UNITED STATES,10,4078934
ADDICTION RESEARCH INSTITUTE,SOUTH BURLINGTON,VT,UNITED STATES,4,2985434
ADELPHI UNIVERSITY,GARDEN CITY,NY,UNITED STATES,1,104905
ADEZA BIOMEDICAL CORPORATION,SUNNYVALE,CA,UNITED STATES,1,25750
ADIRONDACK BIOMEDICAL RESEARCH INSTITUTE,LAKE PLACID,NY,UNITED STATES,10,3063677
"ADRIA SP, INC.",ALBUQUERQUE,NM,UNITED STATES,1,461144
"ADVANCED BIOSCIENCE LABORATORIES, INC.",KENSINGTON,MD,UNITED STATES,24,16718498
"ADVANCED DETECTORS, INC.",CAMARILLO,CA,UNITED STATES,1,624273
ADVANCED ENGINEERING AND PLANNING CORP,ROCKVILLE,MD,UNITED STATES,1,25753
"ADVANCED MAGNETICS, INC.",CAMBRIDGE,MA,UNITED STATES,2,99997
"ADVANCED MECHANICAL TECHNOLOGY, INC.",WATERTOWN,MA,UNITED STATES,1,203147
"ADVANCED SCIENTIFIC CONCEPTS, INC.",SANTA BARBARA,CA,UNITED STATES,1,49975
"ADVANCED SURFACE MICROSCOPY, INC.",INDIANAPOLIS,IN,UNITED STATES,1,50000
ADVANCED TECHNOLOGIES,TUCSON,AZ,UNITED STATES,1,49999
"ADVANCED TISSUE SCIENCES, INC.",SAN DIEGO,CA,UNITED STATES,1,50000
AEROJET SOLID PROPULSION COMPANY,SACRAMENTO,CA,UNITED STATES,1,558979
AF SAMMER CORPORATION,RINGWOOD,NJ,UNITED STATES,1,50000
AFFILIATED SYSTEMS CORPORATION,HOUSTON,TX,UNITED STATES,1,654038
AFFYMAX RESEARCH INSTITUTE,PALO ALTO,CA,UNITED STATES,2,900502
AGI DERMATICS,FREEPORT,NY,UNITED STATES,3,750000
AGOURON INSTITUTE,SAN DIEGO,CA,UNITED STATES,7,1540316
"AGOURON PHARMACEUTICALS, INC.",SAN DIEGO,CA,UNITED STATES,1,943897
"AIDS RESEARCH CONSORTIUM OF ATLANTA, INC",ATLANTA,GA,UNITED STATES,7,693031
"AIMS, INC.",ROCKVILLE,MD,UNITED STATES,1,50000
ALABAMA AGRI AND MECH UNIVERSITY,NORMAL,AL,UNITED STATES,2,283515
"ALABAMA CRYOGENIC ENGINEERING, INC.",HUNTSVILLE,AL,UNITED STATES,1,203259
ALABAMA STATE DEPT OF MTL HLTH & MTL RET,MONTGOMERY,AL,UNITED STATES,2,158844
ALABAMA STATE UNIVERSITY,MONTGOMERY,AL,UNITED STATES,3,492110
"ALACRON, INC.",CHAPPAQUA,NY,UNITED STATES,2,321657
ALASKA STATE DEPARTMENT OF EDUCATION,JUNEAU,AK,UNITED STATES,1,74103
ALASKA STATE DEPARTMENT OF HLTH-SOC SVCS,JUNEAU,AK,UNITED STATES,2,147121
ALBANY COLLEGE OF PHARMACY,ALBANY,NY,UNITED STATES,1,94095
ALBANY MEDICAL COLLEGE,ALBANY,NY,UNITED STATES,60,9003046
ALBANY STATE UNIVERSITY,ALBANY,GA,UNITED STATES,2,369017
ALBERT EINSTEIN COL OF MED YESHIVA UNIV,NEW YORK,NY,UNITED STATES,255,76568816
ALBERT EINSTEIN MED CTR (PHILADELPHIA),PHILADELPHIA,PA,UNITED STATES,4,242401
ALBUQUERQUE AVIAN CLINIC,ALBUQUERQUE,NM,UNITED STATES,1,44000
ALCORN STATE UNIVERSITY,LORMAN,MS,UNITED STATES,2,138813
"ALDERON BIOSCIENCES, INC.",DURHAM,NC,UNITED STATES,3,149977
ALDRICH CHEMICAL COMPANY,MILWAUKEE,WI,UNITED STATES,1,458743
