ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
"21ST CENTURY MEDICINE, INC.",FONTANA,CA,UNITED STATES,2,392326
"21ST CENTURY THERAPEUTICS, INC.",DETROIT,MI,UNITED STATES,1,345914
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,DURHAM,NC,UNITED STATES,5,2247103
"3DT HOLDINGS, LLC",SAN DIEGO,CA,UNITED STATES,4,4149083
"3P BIOTECHNOLOGIES, INC.",PROSPECT,KY,UNITED STATES,1,1000000
"3SCAN, INC.",SAN FRANCISCO,CA,UNITED STATES,1,240750
"3T TECHNOLOGIES, LLC",MARIETTA,GA,UNITED STATES,1,149927
"480 BIOMEDICAL, INC.",WATERTOWN,MA,UNITED STATES,1,925951
"490 BIOTECH, INC.",KNOXVILLE,TN,UNITED STATES,3,1121651
"7 HILLS PHARMA, LLC",HOUSTON,TX,UNITED STATES,1,999501
"A AND G PHARMACEUTICAL, INC.",COLUMBIA,MD,UNITED STATES,3,2094089
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,KIRKSVILLE,MO,UNITED STATES,1,382343
"A2 THERAPEUTICS, INC.",HOUSTON,TX,UNITED STATES,1,222472
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,5,3216062
"AAVOGEN, INC.",ROCKVILLE,MD,UNITED STATES,1,660235
"ABCAM, INC.",CAMBRIDGE,MA,UNITED STATES,3,781408
"ABCOMBI BIOSCIENCES, INC.",AMHERST,NY,UNITED STATES,1,300000
"ABILITA BIO, INC.",SAN DIEGO,CA,UNITED STATES,1,311095
"ABLELINK TECHNOLOGIES, INC.",COLORADO SPRINGS,CO,UNITED STATES,1,17171
"ABREOS BIOSCIENCES, INC.",SAN DIEGO,CA,UNITED STATES,3,1237112
"ABTELUM BIOMEDICAL, INC.",WESTWOOD,MA,UNITED STATES,1,299979
"ABVIRO, LLC",BETHESDA,MD,UNITED STATES,2,3878629
"ABZYME THERAPEUTICS, LLC",POTTSTOWN,PA,UNITED STATES,2,470344
ACADEMIC PEDIATRIC ASSOCIATION,MC LEAN,VA,UNITED STATES,1,145752
ACADEMISCH ZIEKENHUIS PARAMARIBO,PARAMARIBO,,SURINAME,1,307733
ACADEMYHEALTH,WASHINGTON,DC,UNITED STATES,1,51283
"ACCEL DIAGNOSTICS, LLC",Houston,TX,UNITED STATES,1,331659
"ACCELERO BIOSTRUCTURES, INC.",SAN FRANCISCO,CA,UNITED STATES,1,993537
"ACCELEVIR DIAGNOSTICS, LLC",BALTIMORE,MD,UNITED STATES,2,1300000
"ACCENTS ON HEALTH, INC.",SAN DIEGO,CA,UNITED STATES,1,221344
"ACCESS SENSOR TECHNOLOGIES, LLC",FORT COLLINS,CO,UNITED STATES,1,500451
"ACCUDAVA, INC.",LA JOLLA,CA,UNITED STATES,2,199785
"ACEPRE, LLC",COLUMBIA,SC,UNITED STATES,1,261212
"ACETAMINOPHEN TOXICITY DIAGNOSTICS, LLC",LITTLE ROCK,AR,UNITED STATES,2,1035677
ACMA SOCIAL MARKETING,SANTA FE,NM,UNITED STATES,1,34313
"ACOUSTIC MEDSYSTEMS, INC.",Savoy,IL,UNITED STATES,2,810366
"ACTIV SURGICAL, INC",BOSTON,MA,UNITED STATES,2,242769
"ACTIVAS DIAGNOSTICS, LLC",BANGOR,ME,UNITED STATES,1,500000
"ACTIVATED RESEARCH COMPANY, LLC",EDEN PRAIRIE,MN,UNITED STATES,1,78518
"ACTIVE MOTIF, INC.",CARLSBAD,CA,UNITED STATES,1,279395
"ACTUALIZE THERAPY, LLC",CHICAGO,IL,UNITED STATES,1,686194
"ACTUATED MEDICAL, INC.",BELLEFONTE,PA,UNITED STATES,5,1850547
"ACUMEN PHARMACEUTICALS, INC.",LIVERMORE,CA,UNITED STATES,1,1256516
"ACURASTEM, INC.",Monrovia,CA,UNITED STATES,1,433105
"ADAMAS NANOTECHNOLOGIES, INC.",RALIEGH,NC,UNITED STATES,1,291083
"ADAPTIVE TECHNOLOGY CONSULTING, LLC",MURFREESBORO,TN,UNITED STATES,1,224978
ADDIS ABABA UNIVERSITY,ADDIS ABABA,,ETHIOPIA,4,1586934
"ADECTO PHARMACEUTICALS, INC.",BROOKLINE,MA,UNITED STATES,2,1003000
"ADENOPAINT, LLC",ATLANTA,GA,UNITED STATES,1,567471
ADERA,PESSAC Cedex,,FRANCE,1,748992
"ADIENT MEDICAL, INC.",PEARLAND,TX,UNITED STATES,1,1242992
"ADIPO THERAPEUTICS, LLC",WEST LAFAYETTE,IN,UNITED STATES,1,198323
"ADJUVANCE TECHNOLOGIES, INC.",NEW YORK,NY,UNITED STATES,1,743432
"ADM DIAGNOSTICS, INC.",NORTHBROOK,IL,UNITED STATES,2,432977
"ADT PHARMACEUTICALS, LLC",ORANGE BEACH,AL,UNITED STATES,1,2000
