ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
"13THERAPEUTICS, INC.",PORTLAND,OR,UNITED STATES,3,1294742
"20/20 GENESYSTEMS, INC.",ROCKVILLE,MD,UNITED STATES,2,283218
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,CARY,NC,UNITED STATES,3,757244
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,CARY,NC,UNITED STATES,2,753589
3M COMPANY,ST. PAUL,MN,UNITED STATES,1,3286
454 LIFE SCIENCES CORPORATION,BRANFORD,CT,UNITED STATES,1,586688
"A AND G PHARMACEUTICAL, INC.",COLUMBIA,MD,UNITED STATES,1,120600
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,KIRKSVILLE,MO,UNITED STATES,1,209736
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,11,4886152
"ABACUS-N-BYTES, INC.",WHEATON,MD,UNITED STATES,1,13590
ABERDEEN AREA TRIBAL CHAIRMEN'S HLTH BRD,RAPID CITY,SD,UNITED STATES,1,462450
"ABIOMED, INC.",DANVERS,MA,UNITED STATES,2,862772
"ABIOMED, INC.",DANVERS,MA,UNITED STATES,1,99312
"ABLELINK TECHNOLOGIES, INC.",COLORADO SPRINGS,CO,UNITED STATES,2,475001
"ABOUT WEB, LLC",ROCKVILLE,MD,UNITED STATES,2,629146
"ABQMR, INC.",ALBUQUERQUE,NM,UNITED STATES,1,167183
"ABT ASSOCIATES, INC.",CAMBRIDGE,MA,UNITED STATES,1,321125
"AC TECHNOLOGIES, INC.",FAIRFAX,VA,UNITED STATES,2,2480530
"ACADEMIC EDGE, INC.",BLOOMINGTON,IN,UNITED STATES,2,630742
ACADEMY FOR EDUCATIONAL DEVELOPMENT,WASHINGTON,DC,UNITED STATES,3,3096668
ACADEMY OF SCIENCES OF CZECH REPUBLIC,PRAGUE 4,,CZECH REPUBLIC,1,51202
ACADEMYHEALTH,WASHINGTON,DC,UNITED STATES,1,376881
"ACCACIA INTERNATIONAL, INC.",AUSTIN,TX,UNITED STATES,1,672066
"ACCACIA INTERNATIONAL, INC.",AUSTIN,TX,UNITED STATES,1,149944
"ACCELRYS, INC.",SAN DIEGO,CA,UNITED STATES,1,9853
"ACCENT MEDIA PRODUCTION, INC.",MC LEAN,VA,UNITED STATES,1,491510
"ACCESSIBLE DESIGNS, INC.",SAN ANTONIO,TX,UNITED STATES,1,99992
"ACELOT, INC.",SANTA BARBARA,CA,UNITED STATES,1,223300
"ACENTA DISCOVERY, INC.",TUCSON,AZ,UNITED STATES,3,821468
"ACES-RESEARCH, LLC",ITHACA,NY,UNITED STATES,1,99986
ACOUSTX CORPORATION,SEATTLE,WA,UNITED STATES,1,162281
"ACTIVESITE PHARMACEUTICALS, INC.",BERKELEY,CA,UNITED STATES,1,224868
"ACUCELA, INC.",Bothell,WA,UNITED STATES,2,199295
ACULIGHT CORPORATION,BOTHELL,WA,UNITED STATES,2,774895
"ACUMEN, LLC",BURLINGAME,CA,UNITED STATES,3,712425
"ADA TECHNOLOGIES, INC.",LITTLETON,CO,UNITED STATES,1,145229
"ADA TECHNOLOGIES, INC.",LITTLETON,CO,UNITED STATES,3,653685
ADDICTION RESEARCH AND TREATMENT CORP,NEW YORK,NY,UNITED STATES,1,208585
"ADELPHI TECHNOLOGY, INC.",SAN CARLOS,CA,UNITED STATES,1,372758
"ADENOSINE THERAPEUTICS, LLC",CHARLOTTESVILLE,VA,UNITED STATES,3,1204935
ADVANCED BIOLOGICAL TECHNOLOGIES,CINCINNATI,OH,UNITED STATES,1,181195
"ADVANCED BIOSCIENCE LABORATORIES, INC.",KENSINGTON,MD,UNITED STATES,3,8788251
"ADVANCED BRAIN MONITORING, INC.",CARLSBAD,CA,UNITED STATES,3,807557
"ADVANCED CIRCULATORY SYSTEMS, INC.",EDEN PRAIRIE,MN,UNITED STATES,4,1841222
ADVANCED LIQUID LOGIC,RESEARCH TRIANGLE PARK,NC,UNITED STATES,3,1906238
ADVANCED MEDICAL ELECTRONICS CORPORATION,MAPLE GROVE,MN,UNITED STATES,11,3904962
"ADVANCED MRI TECHNOLOGY, LLC",SEBASTOPOL,CA,UNITED STATES,1,153000
"ADVANCED PHOTODYNAMIC TECHNOLOGIES, INC.",MINNEAPOLIS,MN,UNITED STATES,1,352388
"ADVANCED X-RAY TECHNOLOGY, INC.",BIRMINGHAM,MI,UNITED STATES,1,380000
"ADVANSTA, INC.",MENLO PARK,CA,UNITED STATES,1,150000
"ADVANTAGENE, INC",WABAN,MA,UNITED STATES,4,1479855
"AERIS THERAPEUTICS, INC.",WOBURN,MA,UNITED STATES,1,391775
"AERODYNE RESEARCH, INC",BILLERICA,MA,UNITED STATES,1,362181
"AEROPHASE, INC.",LONGMONT,CO,UNITED STATES,3,1062167
"AEROPRISE, INC.",MOUNTAIN VIEW,CA,UNITED STATES,1,16821
"AESTUS THERAPEUTICS, INC.",PRINCETON,NJ,UNITED STATES,1,198960
"AFASCI, INC.",BURLINGAME,CA,UNITED STATES,2,432266
"AFFINERGY ,INC",RESEARCH TRIANGLE PARK,NC,UNITED STATES,5,1856278
"AFFYMETRIX, INC.",SANTA CLARA,CA,UNITED STATES,1,3233148
"AFG BIOSOLUTIONS, INC.",Gaithersburg,MD,UNITED STATES,1,311603
"AFRAME DIGITAL, INC.",LOVETTSVILLE,VA,UNITED STATES,1,99771
AGA KHAN UNIVERSITY,KARACHI,,PAKISTAN,3,375470
"AGENNIX, INC.",HOUSTON,TX,UNITED STATES,1,570399
"AGENTA BIOTECHNOLOGIES, INC.",BIRMINGHAM,AL,UNITED STATES,2,515318
"AGENTASE, LLC",PITTSBURGH,PA,UNITED STATES,1,331088
"AGENTSHEETS, INC.",BOULDER,CO,UNITED STATES,1,374500
"AGINOVA, INC.",FREEHOLD,NJ,UNITED STATES,1,94681
"AGITAR SOFTWARE, INC.",MOUNTAIN VIEW,CA,UNITED STATES,1,75000
AGNES SCOTT COLLEGE,DECATUR,GA,UNITED STATES,3,427492
"AGORANET, INC.",NEWARK,DE,UNITED STATES,1,417949
"AGUILA TECHNOLOGIES, INC.",SAN MARCOS,CA,UNITED STATES,2,840142
"AIKO BIOTECHNOLOGY, INC.",PORTLAND,ME,UNITED STATES,1,182966
AIN SHAMS UNIVERSITY,CAIRO,,EGYPT,1,230722
"AINS, INC.",GAITHERSBURG,MD,UNITED STATES,1,53064
AKAZA RESEARCH,CAMBRIDGE,MA,UNITED STATES,1,343444
"AKINA, INC.",WEST LAFAYETTE,IN,UNITED STATES,1,100000
"AKONNI BIOSYSTEMS, INC.",NEW MARKET,MD,UNITED STATES,4,1695410
"AKUBIO, LTD",CAMBRIDGE,,UNITED KINGDOM,1,676920
"ALA SCIENTIFIC INSTRUMENTS, INC.",WESTBURY,NY,UNITED STATES,1,181825
ALABAMA AGRI AND MECH UNIVERSITY,NORMAL,AL,UNITED STATES,1,91800
ALABAMA STATE UNIVERSITY,MONTGOMERY,AL,UNITED STATES,2,1100427
ALASKA COMMUNITY ACTION ON TOXICS (ACAT),ANCHORAGE,AK,UNITED STATES,1,208637
ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,ANCHORAGE,AK,UNITED STATES,2,626986
ALBANY COLLEGE OF PHARMACY,ALBANY,NY,UNITED STATES,2,394232
ALBANY MEDICAL COLLEGE,ALBANY,NY,UNITED STATES,38,11043438
"ALBANY MOLECULAR RESEARCH, INC.",ALBANY,NY,UNITED STATES,1,170911
"ALBANY RESEARCH INSTITUTE, INC.",ALBANY,NY,UNITED STATES,1,116430
ALBANY STATE UNIVERSITY,ALBANY,GA,UNITED STATES,3,908929
ALBERT EINSTEIN COL OF MED YESHIVA UNIV,NEW YORK,NY,UNITED STATES,310,132454345
ALBERT EINSTEIN COL OF MED YESHIVA UNIV,NEW YORK,NY,UNITED STATES,3,4868872
ALBERT EINSTEIN HEALTHCARE NETWORK,PHILADELPHIA,PA,UNITED STATES,3,1752415
ALBUQUERQUE AREA INDIAN HEALTH BOARD,ALBUQUERQUE,NM,UNITED STATES,1,50000
ALCORN STATE UNIVERSITY,ALCORN STATE,MS,UNITED STATES,1,241074
ALFRED I. DU PONT HOSP FOR CHILDREN,WILMINGTON,DE,UNITED STATES,6,2523224
ALIAS-I,BROOKLYN,NY,UNITED STATES,1,374415
ALION SCIENCE AND TECHNOLOGY CORP,DURHAM,NC,UNITED STATES,1,3000000
ALLEGHENY-SINGER RESEARCH INSTITUTE,PITTSBURGH,PA,UNITED STATES,10,3640233
ALLELE BIOTECHNOLOGY AND PHARMACEUTICALS,SAN DIEGO,CA,UNITED STATES,1,150000
"ALLEZ PHYSIONIX, LTD",SEATTLE,WA,UNITED STATES,1,531443
ALLIANCE/PRUDENT USE OF ANTIBIOTICS,BOSTON,MA,UNITED STATES,1,5000
"ALLIED INNOVATIVE SYSTEMS, LLC",Hillsborough,NJ,UNITED STATES,3,1249515
"ALLTRANZ, INC.",LEXINGTON,KY,UNITED STATES,1,100565
"ALLVIVO VASCULAR, INC.",LAKE FOREST,CA,UNITED STATES,1,398235
"ALMEN LABORATORIES, INC.",VISTA,CA,UNITED STATES,1,449607
"ALPHA GAMMA TECHNOLOGIES, INC.",RALEIGH,NC,UNITED STATES,1,7889
"ALPHA GENESIS, INC.",YEMASSEE,SC,UNITED STATES,1,1339568
"ALPHA UNIVERSE, LLC",MADISON,WI,UNITED STATES,1,173498
"ALPHAMED, INC",ACTON,MA,UNITED STATES,2,227253
"ALPHASNIFFER, LLC",BOULDER,CO,UNITED STATES,1,235287
"ALPHAVAX HUMAN VACCINES, INC.",RESEARCH TRIANGLE PARK,NC,UNITED STATES,3,2948053
"ALPHAVAX HUMAN VACCINES, INC.",RESEARCH TRIA,NC,UNITED STATES,1,1136715
"ALTAIR ENGINEERING, INC.",AUSTIN,TX,UNITED STATES,1,14874
"ALTEC, INC.",BOSTON,MA,UNITED STATES,1,327184
ALTOR BIOSCIENCE CORPORATION,MIRAMAR,FL,UNITED STATES,2,1749462
"ALTUM, INC.",CHANTILLY,VA,UNITED STATES,1,63150
ALZHEIMER'S DRUG DISCOVERY FOUNDATION,NEW YORK,NY,UNITED STATES,1,75000
"AMAR INTERNATIONAL, INC.",FAIRFAX,VA,UNITED STATES,1,470000
"AMAXA, INC.",GAITHERSBURG,MD,UNITED STATES,1,37980
"AMBERGEN, INC",Watertown,MA,UNITED STATES,7,3484350
"AMBION DIAGNOSTICS, INC.",AUSTIN,TX,UNITED STATES,6,2096562
AMEDICA CORPORATION,SALT LAKE CITY,UT,UNITED STATES,1,465253
AMERICAN ACADEMY OF ADDICTION PSYCHIATRY,Providence,RI,UNITED STATES,1,25000
AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,ROSEMONT,IL,UNITED STATES,2,55000
AMERICAN ACADEMY-CHILD/ADOLESCENT PSYCH,WASHINGTON,DC,UNITED STATES,1,1133676
AMERICAN ASSOC OF PHYSICISTS IN MEDICINE,COLLEGE PARK,MD,UNITED STATES,1,20000
AMERICAN ASSOCIATION FOR CANCER RESEARCH,PHILADELPHIA,PA,UNITED STATES,7,1207951
AMERICAN ASSOCIATION FOR DENTAL RESEARCH,ALEXANDRIA,VA,UNITED STATES,1,54000
AMERICAN ASSOCIATION FOR THE ADV OF SCI,WASHINGTON,DC,UNITED STATES,1,253713
AMERICAN ASSOCIATION OF IMMUNOLOGISTS,BETHESDA,MD,UNITED STATES,1,47520
"AMERICAN BIOOPTICS, LLC",Evanston,IL,UNITED STATES,1,100007
AMERICAN COLLEGE OF MEDICAL GENETICS,BETHESDA,MD,UNITED STATES,1,20000
AMERICAN COLLEGE OF RADIOLOGY,PHILADELPHIA,PA,UNITED STATES,6,23968708
AMERICAN COLLEGE OF RHEUMATOLOGY,ATLANTA,GA,UNITED STATES,1,40000
AMERICAN COLLEGE OF SURGEONS,CHICAGO,IL,UNITED STATES,1,134838
AMERICAN DENTAL ASSOCIATION FOUNDATION,CHICAGO,IL,UNITED STATES,9,2067047
"AMERICAN EAGLE COURIER, INC.",SPRINGFIELD,VA,UNITED STATES,1,6480
"AMERICAN FED OF ST, CO, & MUN EMPLOYEES",WASHINGTON,DC,UNITED STATES,1,662770
AMERICAN FEDERATION FOR AGING RESEARCH,NEW YORK,NY,UNITED STATES,1,25000
AMERICAN FEDERATION FOR MEDICAL RESEARCH,BEVERLY,MA,UNITED STATES,1,50985
AMERICAN FOUNDATION FOR AIDS RESEARCH,NEW YORK,NY,UNITED STATES,1,1150713
AMERICAN INSTITUTES FOR RESEARCH,WASHINGTON,DC,UNITED STATES,1,1317726
AMERICAN INSTITUTES FOR RESEARCH,WASHINGTON,DC,UNITED STATES,1,977978
AMERICAN LIFE SCIENCE PHARMACEUTICALS,SAN DIEGO,CA,UNITED STATES,1,158467
AMERICAN MEDICAL INFORMATICS ASSN,BETHESDA,MD,UNITED STATES,1,35000
AMERICAN NATL RED CROSS--GREATER CHICAGO,CHICAGO,IL,UNITED STATES,1,520419
AMERICAN PHYSIOLOGICAL SOCIETY,BETHESDA,MD,UNITED STATES,3,454380
AMERICAN PSYCHIATRIC FOUNDATION,ARLINGTON,VA,UNITED STATES,2,320547
AMERICAN PSYCHOLOGICAL ASSOCIATION,WASHINGTON,DC,UNITED STATES,2,1305608
AMERICAN PSYCHOSOCIAL ONCOLOGY SOCIETY,CHARLOTTESVILLE,VA,UNITED STATES,1,10000
AMERICAN PSYCHOSOMATIC SOCIETY (APS),MC LEAN,VA,UNITED STATES,1,12000
"AMERICAN REGISTRY OF PATHOLOGY, INC.",WASHINGTON,DC,UNITED STATES,3,534139
"AMERICAN SOC OF LAW, MEDICINE & ETHICS",BOSTON,MA,UNITED STATES,1,75447
AMERICAN SOCIAL HEALTH ASSOCIATION,DURHAM,NC,UNITED STATES,1,40000
AMERICAN SOCIETY FOR BONE & MINERAL RES,WASHINGTON,DC,UNITED STATES,1,27000
AMERICAN SOCIETY FOR CELL BIOLOGY,BETHESDA,MD,UNITED STATES,2,187763
AMERICAN SOCIETY FOR INVESTIG PATHOLOGY,BETHESDA,MD,UNITED STATES,1,10000
AMERICAN SOCIETY FOR MICROBIOLOGY,WASHINGTON,DC,UNITED STATES,5,778182
AMERICAN SOCIETY FOR PARENT & ENTER NUTR,SILVER SPRING,MD,UNITED STATES,1,20000
AMERICAN SOCIETY FOR REPRODUCTIVE MED,BIRMINGHAM,AL,UNITED STATES,1,11000
AMERICAN SOCIETY OF ANDROLOGY,SCHAUMBURG,IL,UNITED STATES,1,19500
AMERICAN SOCIETY OF GENE THERAPY,MILWAUKEE,WI,UNITED STATES,1,20000
AMERICAN SOCIETY OF HEMATOLOGY,WASHINGTON,DC,UNITED STATES,1,34000
AMERICAN SOCIETY OF PHARMACOGNOSY FDN,CORVALLIS,OR,UNITED STATES,0,7000
AMERICAN SOCIETY OF TROP MED & HYGIENE,NORTHBROOK,IL,UNITED STATES,1,7500
AMERICAN SOCIOLOGICAL ASSOCIATION,WASHINGTON,DC,UNITED STATES,1,436415
AMERICAN SPEECH-LANGUAGE-HEARING ASSN,ROCKVILLE,MD,UNITED STATES,1,60000
AMERICAN THORACIC SOCIETY,NEW YORK,NY,UNITED STATES,1,32750
AMERICAN TYPE CULTURE COLLECTION,MANASSAS,VA,UNITED STATES,1,185677
AMERICAN TYPE CULTURE COLLECTION,MANASSAS,VA,UNITED STATES,1,1477328
AMERICAN UNIVERSITY,WASHINGTON,DC,UNITED STATES,1,26533
AMERICAN UNIVERSITY OF BEIRUT,BEIRUT,,LEBANON,1,148270
AMERICAN UROLOGICAL ASSOCIATION,LINTHICUM,MD,UNITED STATES,1,10000
AMERICIANS FOR LIBRARIES COUNCIL,NEW YORK,NY,UNITED STATES,1,200000
"AMES TECHNOLOGY, INC.",PORTLAND,OR,UNITED STATES,1,178775
AMNIS CORPORATION,SEATTLE,WA,UNITED STATES,2,56000
"AMPLIFIED PROTEOMICS, INC",MOUNTAIN VIEW,CA,UNITED STATES,1,490118
AMRON CORPORATION,MC LEAN,VA,UNITED STATES,1,99953
"AMULET PHARMACEUTICALS, INC.",Rockville,MD,UNITED STATES,1,367554
"AMUNIX, INC.",MOUNTAIN VIEW,CA,UNITED STATES,2,208547
"ANATRACE, INC.",Cleveland,OH,UNITED STATES,1,245769
"ANCORA PHARMACEUTICALS, INC.",MEDFORD,MA,UNITED STATES,1,1186750
ANDROGEN EXCESS SOCIETY,LOS ANGELES,CA,UNITED STATES,1,6000
ANDROSCIENCE CORPORATION,SAN DIEGO,CA,UNITED STATES,1,355580
ANGION BIOMEDICA CORPORATION,Garden City,NY,UNITED STATES,11,5987513
ANNAMS SYSTEMS CORPORATION,SAN RAMON,CA,UNITED STATES,2,73893
ANTEON CORPORATION,FAIRFAX,VA,UNITED STATES,1,3920
"ANTEX BIOLOGICS, INC.",GAITHERSBURG,MD,UNITED STATES,2,11003361
"ANTHROTRONIX, INC.",SILVER SPRING,MD,UNITED STATES,1,420998
"ANTICANCER, INC.",SAN DIEGO,CA,UNITED STATES,4,1274931
ANTIQUARIAT SCHEPPLER & MULLER,NEUBIBERG,,GERMANY,2,9202
AON HUNTINGTON BLOCK INSURANCE,WASHINGTON,DC,UNITED STATES,1,3034
"APATH, LLC",SAINT LOUIS,MO,UNITED STATES,2,826319
"APC BIOTECHNOLOGY SERVICES, INC.",Rockville,MD,UNITED STATES,1,169501
"APELIOTUS TECHNOLOGIES, INC.",ATLANTA,GA,UNITED STATES,2,658953
"APELON SYSTEMS, INC.",RIDGEFIELD,CT,UNITED STATES,1,128094
