ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,KIRKSVILLE,MO,UNITED STATES,5,604144
"AAAS SCIENCE PUBLICATIONS, INC.",WASHINGTON,DC,UNITED STATES,1,16657
"AAKEN LABORATORIES, INC.",DAVIS,CA,UNITED STATES,1,159626
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,24,8952921
"AASTROM BIOSCIENCES, INC.",ANN ARBOR,MI,UNITED STATES,6,1215395
"ABACUS DIAGNOSTICS SYSTEMS, INC.",AUSTIN,TX,UNITED STATES,1,153055
ABERDEEN AREA TRIBAL CHAIRMEN'S HLTH BRD,RAPID CITY,SD,UNITED STATES,1,370182
"ABIOMED R AND D, INC.",DANVERS,MA,UNITED STATES,1,81480
"ABIOMED, INC.",DANVERS,MA,UNITED STATES,5,3551280
ABRATECH CORPORATION,SAUSALITO,CA,UNITED STATES,1,99742
"ABT ASSOCIATES, INC.",CAMBRIDGE,MA,UNITED STATES,5,8406506
ABTECH CORPORATION,CHARLOTTESVILLE,VA,UNITED STATES,3,415135
"ACADEMIC EDGE, INC.",BLOOMINGTON,IN,UNITED STATES,1,408285
ACADEMYHEALTH,WASHINGTON,DC,UNITED STATES,4,400672
"ACAMBIS, INC.",CAMBRIDGE,MA,UNITED STATES,1,104504
"ACERA BIOSCIENCES, INC.",HASTINGS,MN,UNITED STATES,1,100000
"ACME EXPRESS, INC.",CLEVELAND,OH,UNITED STATES,1,244999
"ACORDA THERAPEUTICS, INC.",HAWTHORNE,NY,UNITED STATES,1,99995
"ACOUSTIC MEDICAL SYSTEMS, LLC",CHAMPAIGN,IL,UNITED STATES,1,285832
"ACTINIC, INC.",GREENSBORO,NC,UNITED STATES,1,333371
"ACTIVE SIGNAL TECHNOLOGIES, INC.",LINTHICUM HEIGHTS,MD,UNITED STATES,2,199400
ACTIVESITE BIOTECH,SAN DIEGO,CA,UNITED STATES,1,132100
ACULIGHT CORPORATION,BOTHELL,WA,UNITED STATES,2,218696
"ADA TECHNOLOGIES, INC.",LITTLETON,CO,UNITED STATES,2,830696
ADDICTION RESEARCH INSTITUTE,COLCHESTER,VT,UNITED STATES,2,913810
"ADELPHI TECHNOLOGY, INC.",SAN CARLOS,CA,UNITED STATES,1,283025
ADELPHI UNIVERSITY,GARDEN CITY,NY,UNITED STATES,2,76338
ADEZA BIOMEDICAL CORPORATION,SUNNYVALE,CA,UNITED STATES,1,250000
ADHERENCE TECHNOLOGIES CORPORATION,PURCELLVILLE,VA,UNITED STATES,1,103017
"ADIPOGENIX, INC.",BOSTON,MA,UNITED STATES,1,99972
ADVANCED BIONICS CORPORATION,SYLMAR,CA,UNITED STATES,1,108343
"ADVANCED BIOSCIENCE LABORATORIES, INC.",KENSINGTON,MD,UNITED STATES,7,2086178
"ADVANCED BRAIN MONITORING, INC.",CARLSBAD,CA,UNITED STATES,3,1707767
ADVANCED CELL TECHNOLOGY,WORCESTER,MA,UNITED STATES,1,99729
"ADVANCED COCHLEAR SYSTEMS, INC.",SNOQUALMIE,WA,UNITED STATES,1,389975
"ADVANCED DIGITAL IMAGING RESEARCH, LLC",LEAGUE CITY,TX,UNITED STATES,8,1715316
"ADVANCED IMAGING RESEARCH, INC.",CLEVELAND,OH,UNITED STATES,2,198247
"ADVANCED MAGNETICS, INC.",CAMBRIDGE,MA,UNITED STATES,1,98706
ADVANCED MEDICAL ELECTRONICS CORPORATION,MAPLE GROVE,MN,UNITED STATES,3,477531
"ADVANCED SCIENTIFIC CONCEPTS, INC.",SANTA BARBARA,CA,UNITED STATES,1,270265
"ADVANCED TARGETING SYSTEMS, INC.",SAN DIEGO,CA,UNITED STATES,3,557977
"ADVANCED TISSUE SCIENCES, INC.",LA JOLLA,CA,UNITED STATES,2,200040
"AEROSOL DYNAMICS, INC.",BERKELEY,CA,UNITED STATES,1,314399
AFFILIATED SYSTEMS CORPORATION,HOUSTON,TX,UNITED STATES,5,1782578
"AFFYMETRIX, INC.",SANTA CLARA,CA,UNITED STATES,2,338799
"AGENNIX, INC.",HOUSTON,TX,UNITED STATES,1,105891
"AI RESOURCES, INC.",BALTIMORE,MD,UNITED STATES,1,15000
"AIDS RESEARCH CONSORTIUM OF ATLANTA, INC",ATLANTA,GA,UNITED STATES,1,524948
AKURE,CHICAGO,IL,UNITED STATES,1,97370
AKWESASNE TASK FORCE ON THE ENVIRONMENT,HOGANSBURG,NY,UNITED STATES,1,260499
ALABAMA AGRI AND MECH UNIVERSITY,NORMAL,AL,UNITED STATES,1,26323
ALABAMA STATE UNIVERSITY,MONTGOMERY,AL,UNITED STATES,2,559826
"ALACRON, INC.",CHAPPAQUA,NY,UNITED STATES,1,403983
"ALAN PENN AND ASSOCIATES, INC.",ROCKVILLE,MD,UNITED STATES,1,367695
ALBANY COLLEGE OF PHARMACY,ALBANY,NY,UNITED STATES,4,729036
ALBANY MEDICAL COLLEGE,ALBANY,NY,UNITED STATES,49,7852872
"ALBANY MOLECULAR RESEARCH, INC.",ALBANY,NY,UNITED STATES,4,428584
ALBERT EINSTEIN COL OF MED YESHIVA UNIV,BRONX,NY,UNITED STATES,311,102155671
ALBERT EINSTEIN HEALTHCARE NETWORK,PHILADELPHIA,PA,UNITED STATES,2,205723
ALCORN STATE UNIVERSITY,ALCORN STATE,MS,UNITED STATES,3,764632
"ALDERON BIOSCIENCES, INC.",Beaufort,NC,UNITED STATES,7,1194733
"ALEM ASSOCIATES, INC.",BOSTON,MA,UNITED STATES,1,100000
ALION SCIENCE AND TECHNOLOGY CORP,DURHAM,NC,UNITED STATES,5,607562
ALLEGHENY COLLEGE,MEADVILLE,PA,UNITED STATES,1,98437
ALLEGHENY UNIVERSITY OF HEALTH SCIENCES,PHILADELPHIA,PA,UNITED STATES,8,423326
ALLEGHENY-SINGER RESEARCH INSTITUTE,PITTSBURGH,PA,UNITED STATES,13,2823885
ALLIANCE OF GENETIC SUPPORT GROUPS,WASHINGTON,DC,UNITED STATES,2,275498
ALLIANCE PHARMACEUTICAL CORPORATION,OTISVILLE,NY,UNITED STATES,1,24687
"ALLIED TECHNOLOGY GROUP, INC.",ROCKVILLE,MD,UNITED STATES,5,852955
"ALLOS THERAPEUTICS, INC.",DENVER,CO,UNITED STATES,1,377076
"ALPHA GENESIS, INC.",YEMASSEE,SC,UNITED STATES,3,551375
"ALPHA INTERVENTION TECHNOLOGY, INC.",ROCHESTER,NY,UNITED STATES,1,291186
ALPHA-1 FOUNDATION,MIAMI,FL,UNITED STATES,1,38500
"ALPHAGENE, INC.",WOBURN,MA,UNITED STATES,1,117159
ALPHATECH CORPORATION,ARLINGTON,VA,UNITED STATES,3,230000
"ALPHATECH, INC.",BURLINGTON,MA,UNITED STATES,1,344062
ALTOR BIOSCIENCE CORPORATION,MIRAMAR,FL,UNITED STATES,1,99963
"ALTUS BIOLOGICS, INC.",CAMBRIDGE,MA,UNITED STATES,1,426752
ALZHEIMER'S ASSOCIATION OF SE PENN,PHILADELPHIA,PA,UNITED STATES,1,19000
"AMBERGEN, INC",WATERTOWN,MA,UNITED STATES,3,524904
"AMBION, INC.",AUSTIN,TX,UNITED STATES,4,704400
AMC CANCER RESEARCH CENTER,DENVER,CO,UNITED STATES,16,5129155
AMEDICA CORPORATION,SALT LAKE CITY,UT,UNITED STATES,1,98760
AMERICAN ACADEMY OF ADDICTION PSYCHIATRY,East Providence,RI,UNITED STATES,1,69680
AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,ROSEMONT,IL,UNITED STATES,1,27000
AMERICAN ACADEMY OF OTOLARYNGOLOGY-HEAD,ALEXANDRIA,VA,UNITED STATES,1,1174789
AMERICAN ACADEMY/HOSPICE & PALLIATIVE MD,GAINESVILLE,FL,UNITED STATES,1,149413
AMERICAN ACADEMY-CHILD/ADOLESCENT PSYCH,WASHINGTON,DC,UNITED STATES,1,662243
AMERICAN ASSN FOR GERIATRIC PSYCHIATRY,GREENBELT,MD,UNITED STATES,1,77795
AMERICAN ASSOCIATION FOR CANCER RESEARCH,PHILADELPHIA,PA,UNITED STATES,6,983435
AMERICAN ASSOCIATION FOR THE ADV OF SCI,WASHINGTON,DC,UNITED STATES,1,119541
AMERICAN ASSOCIATION OF IMMUNOLOGISTS,BETHESDA,MD,UNITED STATES,2,79000
"AMERICAN BIOGENETIC SCIENCES, INC.",COPIAGUE,NY,UNITED STATES,1,135203
"AMERICAN CANCER SOCIETY, INC.",ATLANTA,GA,UNITED STATES,1,90720
AMERICAN CARDIOVASCULAR RESEARCH INST,ATLANTA,GA,UNITED STATES,1,301518
AMERICAN COLLEGE OF OB AND GYN,WASHINGTON,DC,UNITED STATES,3,6873611
AMERICAN COLLEGE OF RADIOLOGY,PHILADELPHIA,PA,UNITED STATES,1,96936
AMERICAN COLLEGE OF RADIOLOGY,RESTON,VA,UNITED STATES,8,13301051
AMERICAN COLLEGE OF RHEUMATOLOGY,ATLANTA,GA,UNITED STATES,1,15000
AMERICAN COLLEGE OF SPORTS MEDICINE,INDIANAPOLIS,IN,UNITED STATES,1,13000
AMERICAN COLLEGE OF SURGEONS,CHICAGO,IL,UNITED STATES,1,2865494
AMERICAN DENTAL ASSOCIATION FOUNDATION,CHICAGO,IL,UNITED STATES,4,795568
"AMERICAN FED OF ST, CO, & MUN EMPLOYEES",WASHINGTON,DC,UNITED STATES,1,550000
AMERICAN MEDICAL ASSOCIATION,CHICAGO,IL,UNITED STATES,1,49263
AMERICAN NATIONAL RED CROSS,WASHINGTON,DC,UNITED STATES,30,6888484
AMERICAN NATIONAL RED CROSS LOS ANGELES,LOS ANGELES,CA,UNITED STATES,1,1446453
AMERICAN OCCUPATIONAL THERAPY ASSN,BETHESDA,MD,UNITED STATES,2,31952
"AMERICAN PANCREATIC ASSOCIATION, INC.",LOS ANGELES,CA,UNITED STATES,1,15000
AMERICAN PHYSIOLOGICAL SOCIETY,BETHESDA,MD,UNITED STATES,6,603438
AMERICAN PSYCHIATRIC FOUNDATION,ARLINGTON,VA,UNITED STATES,1,703188
AMERICAN PSYCHOLOGICAL ASSOCIATION,WASHINGTON,DC,UNITED STATES,4,1081442
"AMERICAN REGISTRY OF PATHOLOGY, INC.",WASHINGTON,DC,UNITED STATES,1,180000
AMERICAN RESEARCH CORP OF VIRGINIA,RADFORD,VA,UNITED STATES,2,526247
AMERICAN SOCIETY FOR CELL BIOLOGY,BETHESDA,MD,UNITED STATES,4,209577
AMERICAN SOCIETY FOR MICROBIOLOGY,WASHINGTON,DC,UNITED STATES,3,24800
AMERICAN SOCIETY FOR PARENT & ENTER NUTR,SILVER SPRING,MD,UNITED STATES,2,30434
AMERICAN SOCIETY OF HLTH-SYSTEM PHARMS,BETHESDA,MD,UNITED STATES,1,155900
AMERICAN SOCIOLOGICAL ASSOCIATION,WASHINGTON,DC,UNITED STATES,1,571055
AMERICAN SPEECH-LANGUAGE-HEARING ASSN,ROCKVILLE,MD,UNITED STATES,1,15000
AMERICAN TYPE CULTURE COLLECTION,MANASSAS,VA,UNITED STATES,5,1240627
AMERICAN UNIVERSITY,WASHINGTON,DC,UNITED STATES,4,209566
"AMETHYST TECHNOLOGIES, INC.",SCOTTSDALE,AZ,UNITED STATES,4,936684
AMHERST COLLEGE,AMHERST,MA,UNITED STATES,1,21048
AMNIS CORPORATION,SEATTLE,WA,UNITED STATES,1,100000
AMRON CORPORATION,MC LEAN,VA,UNITED STATES,2,422566
"AMT, INC.",CHERRY HILL,NJ,UNITED STATES,1,100000
"ANACAPA SCIENCES, INC.",SANTA BARBARA,CA,UNITED STATES,1,122020
"ANALIZA, INC.",Cleveland,OH,UNITED STATES,1,354705
"ANALYTICA OF BRANFORD, INC.",BRANFORD,CT,UNITED STATES,1,100763
"ANALYTICAL BIOLOGICAL SERVICES, INC.",WILMINGTON,DE,UNITED STATES,2,503797
"ANALYTICAL SCIENCES, INC.",DURHAM,NC,UNITED STATES,2,114443
"ANASAZI BIOMEDICAL RESEARCH, INC.",WINSTON-SALEM,NC,UNITED STATES,2,210000
"ANATOMIX, INC.",SAN DIEGO,CA,UNITED STATES,1,312416
"ANATRACE, INC.",Cleveland,OH,UNITED STATES,2,474909
ANGION BIOMEDICA CORPORATION,MANHASSET,NY,UNITED STATES,1,99975
ANGION BIOMEDICA CORPORATION,GARDEN CITY,NY,UNITED STATES,1,108600
"ANGSTROM PHARMACEUTICALS, INC.",SOLANA BEACH,CA,UNITED STATES,1,100017
ANIMAS CORPORATION,NORRISTOWN,PA,UNITED STATES,1,172431
"ANNOVIS, INC.",ASTON,PA,UNITED STATES,2,774100
"ANTICANCER, INC.",SAN DIEGO,CA,UNITED STATES,1,100000
"ANTIGENICS, INC.",LEXINGTON,MA,UNITED STATES,1,452858
"APATH, LLC",SAINT LOUIS,MO,UNITED STATES,1,109410
APHIOS CORPORATION,WOBURN,MA,UNITED STATES,3,299998
"APOLIFE, INC.",DETROIT,MI,UNITED STATES,1,315089
"APOLLO LIGHT SYSTEMS, INC.",American Fork,UT,UNITED STATES,3,204552
"APOSTAIN, INC.",MIAMI,FL,UNITED STATES,1,41450
"APPLIED BEHAVIORAL RESEARCH, LLC",NEW HAVEN,CT,UNITED STATES,1,333840
"APPLIED BIOMATHEMATICS, INC.",SETAUKET,NY,UNITED STATES,1,373467
"APPLIED BIOSYSTEMS, INC",FOSTER CITY,CA,UNITED STATES,2,2000000
"APPLIED BIOTECH CONCEPTS, INC.",NEW HAVEN,CT,UNITED STATES,1,100000
APPLIED GENETICS INCORPORATED DERMATICS,FREEPORT,NY,UNITED STATES,1,378659
"APPLIED GENETICS LABORATORIES, INC.",MELBOURNE,FL,UNITED STATES,2,79842
"APPLIED HUMAN FACTORS, INC.",SAN ANTONIO,TX,UNITED STATES,1,99745
"APPLIED IMAGE, INC.",ROCHESTER,NY,UNITED STATES,1,115260
"APPLIED MOLECULAR EVOLUTION, INC.",SAN DIEGO,CA,UNITED STATES,2,201045
APPLIED RESOURCES CORPORATION,FAIRFIELD,NJ,UNITED STATES,1,96426
"APPLIED SYSTEM TECHNOLOGIES, INC.",ROCKVILLE,MD,UNITED STATES,3,510830
"APT FOUNDATION, INC.",NEW HAVEN,CT,UNITED STATES,3,1386004
"AQUILENT, INC.",LAUREL,MD,UNITED STATES,4,1205215
ARACOR,SUNNYVALE,CA,UNITED STATES,1,286858
ARADIGM CORPORATION,HAYWARD,CA,UNITED STATES,1,386400
"ARC OF THE DISTRICT OF COLUMBIA, INC",WASHINGTON,DC,UNITED STATES,2,173431
ARDONO RESEARCH,SEATTLE,WA,UNITED STATES,1,301512
AREA DETECTOR SYSTEMS CORPORATION,POWAY,CA,UNITED STATES,1,100000
ARIZONA INSTITUTE FOR BIO-MEDICAL RES,SCOTTSDALE,AZ,UNITED STATES,4,894422
ARIZONA STATE UNIVERSITY,TEMPE,AZ,UNITED STATES,50,10378449
ARKANSAS CHILDREN'S HOSP (LITTLE ROCK),LITTLE ROCK,AR,UNITED STATES,4,794104
ARKANSAS CHILDREN'S HOSPITAL RES INST,LITTLE ROCK,AR,UNITED STATES,8,1806746
ARLENE FINK ASSOCIATES,PACIFIC PALISADES,CA,UNITED STATES,1,100334
"ARMSTRONG DATA SERVICES, INC.",BREA,CA,UNITED STATES,2,746953
ARNOLD GEISLER FURNITURE,GAITHERSBURG,MD,UNITED STATES,1,35935
"ARRAY MEDICAL, INC.",SOMERVILLE,NJ,UNITED STATES,1,100000
"ARTANN LABORATORIES, INC.",TRENTON,NJ,UNITED STATES,4,904354
"ARTECEL SCIENCES, INC.",DURHAM,NC,UNITED STATES,1,99017
ARTHRITIS FOUNDATION,ATLANTA,GA,UNITED STATES,1,45000
ARTIFICIAL REALITY CORPORATION,VERNON,CT,UNITED STATES,1,100000
"ASH STEVENS, INC.",DETROIT,MI,UNITED STATES,1,1349558
ASHLAND UNIVERSITY,ASHLAND,OH,UNITED STATES,1,72000
