ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
3D MOLECULAR DESIGNS,WAUWATOSA,WI,UNITED STATES,1,143000
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,KIRKSVILLE,MO,UNITED STATES,6,772367
"AAAS SCIENCE PUBLICATIONS, INC.",WASHINGTON,DC,UNITED STATES,1,689547
"AAC ASSOCIATES, INC.",VIENNA,VA,UNITED STATES,2,282953
"AARMEDIS, INC.",BALTIMORE,MD,UNITED STATES,1,26000
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,23,6729808
"AASTROM BIOSCIENCES, INC.",ANN ARBOR,MI,UNITED STATES,3,884403
"ABACUS DIAGNOSTICS SYSTEMS, INC.",AUSTIN,TX,UNITED STATES,1,234760
ABACUS GROUP,CRANSTON,RI,UNITED STATES,3,299425
"ABIOMED, INC.",DANVERS,MA,UNITED STATES,3,682524
ABRATECH CORPORATION,SAUSALITO,CA,UNITED STATES,3,370887
"ABT ASSOCIATES, INC.",CAMBRIDGE,MA,UNITED STATES,2,2520000
ABTECH CORPORATION,CHARLOTTESVILLE,VA,UNITED STATES,1,334761
"ACADEMIC EDGE, INC.",BLOOMINGTON,IN,UNITED STATES,4,807258
"ACADEMIC RESEARCH ENTERPRISES, LLC",GAITHERSBURG,MD,UNITED STATES,1,100000
"ACADEMIC SOFTWARE, INC.",LEXINGTON,KY,UNITED STATES,1,99901
ACADEMYHEALTH,WASHINGTON,DC,UNITED STATES,3,404267
ACADIA INSTITUTE,BAR HARBOR,ME,UNITED STATES,1,21858
"ACADIA PHARMACEUTICALS, INC.",SAN DIEGO,CA,UNITED STATES,1,119463
"ACAMBIS, INC.",CAMBRIDGE,MA,UNITED STATES,3,2116561
"ACCESS PHARMACEUTICALS, INC.",DALLAS,TX,UNITED STATES,1,139955
ACCURATE ASSESSMENTS,OMAHA,NE,UNITED STATES,1,79394
"ACELL, INC.",CAMBRIDGE,MA,UNITED STATES,3,590000
"ACERA BIOSCIENCES, INC.",HASTINGS,MN,UNITED STATES,2,264883
"ACORDA THERAPEUTICS, INC.",HAWTHORNE,NY,UNITED STATES,2,295526
"ACRYMED, INC.",BEAVERTON,OR,UNITED STATES,1,130807
"ACTINIC, INC.",GREENSBORO,NC,UNITED STATES,1,272812
"ACTIVE SIGNAL TECHNOLOGIES, INC.",LINTHICUM HEIGHTS,MD,UNITED STATES,2,565110
ACTIVESITE BIOTECH,SAN DIEGO,CA,UNITED STATES,1,100000
"ADA TECHNOLOGIES, INC.",LITTLETON,CO,UNITED STATES,2,391739
"ADAM.COM, INC.",ATLANTA,GA,UNITED STATES,1,250000
ADDICTION RESEARCH INSTITUTE,COLCHESTER,VT,UNITED STATES,1,639516
"ADELPHI TECHNOLOGY, INC.",SAN CARLOS,CA,UNITED STATES,1,100000
ADELPHI UNIVERSITY,GARDEN CITY,NY,UNITED STATES,1,51243
"ADENOSINE THERAPEUTICS, LLC",CHARLOTTESVILLE,VA,UNITED STATES,4,400000
ADEZA BIOMEDICAL CORPORATION,SUNNYVALE,CA,UNITED STATES,1,29611
ADHERENCE TECHNOLOGIES CORPORATION,PURCELLVILLE,VA,UNITED STATES,2,49608
"ADIPOGENIX, INC.",BOSTON,MA,UNITED STATES,1,99930
ADVANCED BIOMEDICAL ASSAYS,PROVO,UT,UNITED STATES,1,99998
"ADVANCED BIOSCIENCE LABORATORIES, INC.",KENSINGTON,MD,UNITED STATES,3,2650244
"ADVANCED BIOSCIENCES LABORATORIES, INC.",KENSINGTON,MD,UNITED STATES,1,2527964
"ADVANCED BIOTHERAPIES, INC.",SAN DIEGO,CA,UNITED STATES,1,100000
"ADVANCED BRAIN MONITORING, INC.",CARLSBAD,CA,UNITED STATES,4,869713
"ADVANCED CIRCULATORY SYSTEMS, INC.",EDEN PRAIRIE,MN,UNITED STATES,1,100000
"ADVANCED COCHLEAR SYSTEMS, INC.",SNOQUALMIE,WA,UNITED STATES,3,935178
"ADVANCED DIGITAL IMAGING RESEARCH, LLC",LEAGUE CITY,TX,UNITED STATES,4,990515
ADVANCED EXTRAVASCULAR SYSTEMS,LOS ANGELES,CA,UNITED STATES,1,347825
"ADVANCED IMAGING RESEARCH, INC.",CLEVELAND,OH,UNITED STATES,2,1023454
ADVANCED MEDICAL ELECTRONICS CORPORATION,MAPLE GROVE,MN,UNITED STATES,4,400000
ADVANCED MICROBIAL SOLUTIONS CORPORATION,MILFORD,MA,UNITED STATES,1,106166
"ADVANCED MRI TECHNOLOGY, LLC",SEBASTOPOL,CA,UNITED STATES,1,290527
"ADVANCED PHOTODYNAMIC TECHNOLOGIES, INC.",MINNEAPOLIS,MN,UNITED STATES,1,108712
"ADVANCED TARGETING SYSTEMS, INC.",SAN DIEGO,CA,UNITED STATES,1,100000
"ADVANCED TISSUE SCIENCES, INC.",LA JOLLA,CA,UNITED STATES,2,309954
"ADVENTRX PHARMACEUTICALS, INC.",SAN DIEGO,CA,UNITED STATES,1,115284
"ADVITECH, INC.",SAN ANTONIO,TX,UNITED STATES,1,78000
ADVOCATE HEALTH AND HOSPITALS CORP,OAK BROOK,IL,UNITED STATES,1,235135
ADVOCATES FOR HUMAN POTENTIAL,SUDBURY,MA,UNITED STATES,1,80626
"AEROSOL DYNAMICS, INC.",BERKELEY,CA,UNITED STATES,1,52190
"AEROVIRONMENT, INC.",MONROVIA,CA,UNITED STATES,1,74906
AFFILIATED SYSTEMS CORPORATION,HOUSTON,TX,UNITED STATES,3,1610176
"AFFYMETRIX, INC.",SANTA CLARA,CA,UNITED STATES,2,195756
AG BELL ASSN FOR DEAF & HARD OF HEARING,WASHINGTON,DC,UNITED STATES,1,29108
"AGENNIX, INC.",HOUSTON,TX,UNITED STATES,1,100733
"AGRIVAX, INC.",LOS ANGELES,CA,UNITED STATES,1,99938
"AI RESOURCES, INC.",BALTIMORE,MD,UNITED STATES,1,54990
AIDS RESEARCH ALLIANCE-CHICAGO,CHICAGO,IL,UNITED STATES,1,844045
"AIDS RESEARCH CONSORTIUM OF ATLANTA, INC",ATLANTA,GA,UNITED STATES,2,552807
"AIMS, INC.",ROCKVILLE,MD,UNITED STATES,1,100000
AKKADIX CORPORATION,LA JOLLA,CA,UNITED STATES,1,391669
AKURE,CHICAGO,IL,UNITED STATES,1,16015
AKWESASNE TASK FORCE ON THE ENVIRONMENT,HOGANSBURG,NY,UNITED STATES,2,295647
ALABAMA AGRI AND MECH UNIVERSITY,NORMAL,AL,UNITED STATES,3,182292
ALABAMA EYE BANK,BIRMINGHAM,AL,UNITED STATES,1,46715
ALABAMA STATE UNIVERSITY,MONTGOMERY,AL,UNITED STATES,2,560489
"ALACRON, INC.",CHAPPAQUA,NY,UNITED STATES,1,345954
"ALAN PENN AND ASSOCIATES, INC.",ROCKVILLE,MD,UNITED STATES,1,379381
ALASKA CONSERVATION FOUNDATION,ANCHORAGE,AK,UNITED STATES,1,210480
ALBANY COLLEGE OF PHARMACY,ALBANY,NY,UNITED STATES,3,648933
